Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
1 - Adapter 1	6672606	2151829	709441	17496	38873	1806	4486	995	2550	2451	2717	470	844	568	748	849	541	734	946	550	882	491	754	493	590	642	757	551	853	618	709	629	620	619	773	544	425	498	462	736	484	708	398	511	656	893	781	801	584	632	718	545	471	464	279	312	570	278	384	270	385	225	351	311	400	287	286	269	220	280	236	721	297	345	401	213	253	429	238	385	404	272	293	310	419	435	408	391	319	406	409	517	346	569	651	1322	1226	4609	113755	6190
10 - Adapter 1	7309998	2251159	807861	19386	44007	2201	5543	1270	3762	3172	2894	507	1606	542	1671	1410	1163	1554	1142	853	1301	845	1291	982	1122	875	1214	711	1240	889	841	1153	853	788	634	661	618	662	647	755	787	709	513	678	722	813	760	611	367	465	719	511	488	548	431	493	538	361	334	333	329	331	346	363	594	213	274	239	187	307	260	455	265	246	353	241	250	280	243	289	338	374	260	244	333	588	297	312	309	313	369	385	311	435	481	1018	1108	4293	103554	7461
11 - Adapter 1	9177914	2806393	972446	23955	53292	2580	6865	1492	4254	3760	4292	630	1823	725	1709	1624	1192	1535	1294	887	1433	826	1293	867	1045	796	1009	671	932	663	816	816	558	727	603	704	510	596	629	954	542	603	417	437	451	536	634	529	542	442	654	495	376	350	318	373	803	397	332	351	399	288	333	360	513	322	320	327	250	328	234	626	296	283	444	242	341	423	268	355	396	394	299	355	399	564	424	408	373	342	319	482	262	423	414	873	895	2189	42055	2198
12 - Adapter 1	10066232	3110731	1078409	26875	60882	2987	7352	1649	4657	4225	4534	658	1878	818	1752	1650	1259	1771	1523	973	1416	841	1199	887	995	838	900	773	945	665	828	761	688	817	727	563	637	507	420	894	520	620	508	522	558	558	467	529	628	484	661	388	447	445	363	434	763	415	383	442	469	399	364	372	584	327	412	324	304	396	375	821	358	312	543	297	362	471	389	479	461	465	375	383	489	614	520	413	389	361	372	487	216	385	434	739	826	1456	17302	1102
13 - Adapter 1	4355562	1361725	473016	11145	25938	1136	3146	669	1985	1839	1969	301	753	361	743	705	478	708	599	387	701	356	508	395	419	378	453	335	415	398	382	316	323	329	337	243	182	242	212	428	253	320	197	195	226	232	300	247	256	248	341	233	229	237	162	224	404	207	211	182	206	166	237	190	271	156	193	166	153	184	154	340	159	151	271	104	183	215	188	197	331	255	160	175	228	331	228	257	213	201	148	252	153	230	229	337	396	730	12545	533
14 - Adapter 1	8146121	2481434	854976	21792	47605	2650	6074	1276	3715	3610	4103	706	1993	664	1862	1853	1338	1926	1404	1003	1429	853	1343	930	1157	776	1006	658	935	631	781	727	607	736	612	707	539	522	354	743	488	662	515	523	454	579	485	592	565	508	626	430	432	363	300	377	557	342	296	348	358	324	293	291	528	302	328	314	271	212	257	616	267	272	400	238	305	325	235	359	374	337	289	308	400	522	371	347	322	314	316	403	253	374	444	780	745	2150	43739	2960
15 - Adapter 1	8579640	2616443	909429	22747	50023	2775	6613	1207	3980	4206	4375	656	2137	716	2190	1927	1384	2210	1466	938	1456	910	1528	1085	1175	874	983	601	1022	664	850	961	646	785	584	484	669	452	463	795	426	727	455	499	532	537	611	535	518	409	646	327	493	376	285	318	536	254	250	275	335	305	273	296	552	226	296	249	211	287	269	523	234	267	326	189	301	276	190	309	334	325	283	254	424	517	381	320	296	279	252	360	223	348	420	721	787	2037	50371	2728
16 - Adapter 1	9372143	2916550	999245	25546	56438	2959	6990	1678	4957	4679	5075	840	2346	803	2319	2195	1458	2266	1682	1085	1609	971	1632	1158	1350	948	1259	847	1102	849	993	994	822	893	761	676	733	574	577	951	632	769	529	509	528	618	579	520	552	494	656	450	522	442	358	495	822	403	437	401	459	373	373	413	614	343	368	330	316	405	347	889	367	354	556	288	441	379	356	510	436	445	360	373	478	613	477	372	356	338	318	466	283	385	490	784	754	1557	20686	1384
2 - Adapter 1	4302406	1410504	468361	11354	25764	1229	3250	614	1970	1688	1637	278	792	336	816	674	524	676	557	385	676	393	666	518	498	484	713	490	420	395	399	487	409	408	481	394	361	238	179	367	342	331	299	292	324	380	358	370	264	294	369	223	296	287	207	185	270	167	182	212	195	142	215	224	340	130	199	130	147	241	137	317	154	144	163	170	174	158	157	257	315	180	198	148	251	399	174	211	191	191	189	261	189	263	293	571	538	1852	42057	3123
3 - Adapter 1	9097865	2826371	959918	24327	54104	2929	7017	1369	4022	4000	4338	754	2038	767	2192	2002	1467	2289	1550	1123	1578	1022	1830	1259	1498	991	1351	761	1410	872	1035	1148	809	969	739	877	665	972	446	877	628	706	634	748	691	693	729	651	590	488	821	458	539	457	394	362	596	336	370	368	328	295	353	381	578	206	310	231	264	318	337	631	272	315	357	272	339	266	265	421	374	436	329	314	432	575	470	351	303	283	362	479	279	481	501	878	887	2171	42981	2220
