Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
1 - Adapter 1	0.33520269393692137	0.4323941088774511	0.5702276695706355	0.05625106700519333	0.4999196229351132	0.09290314615527069	0.9230642605814935	0.8189300411522634	8.396443859071452	32.29249011857707	143.0	100.0	179.5744680851064	120.85106382978724	159.14893617021275	180.63829787234042	115.1063829787234	156.17021276595744	201.27659574468083	117.02127659574468	187.6595744680851	104.46808510638297	160.4255319148936	104.8936170212766	125.53191489361701	136.59574468085106	161.06382978723403	117.23404255319149	181.48936170212767	131.48936170212767	150.85106382978722	133.82978723404256	131.91489361702128	131.70212765957447	164.46808510638297	115.74468085106382	90.42553191489361	105.95744680851064	98.29787234042553	156.59574468085106	102.97872340425532	150.63829787234042	84.68085106382978	108.72340425531914	139.5744680851064	190.0	166.17021276595744	170.4255319148936	124.25531914893617	134.46808510638297	152.7659574468085	115.95744680851064	100.2127659574468	98.72340425531914	59.36170212765957	66.38297872340425	121.27659574468085	59.148936170212764	81.70212765957446	57.4468085106383	81.91489361702128	47.87234042553191	74.68085106382978	66.17021276595744	85.1063829787234	61.06382978723404	60.85106382978723	57.234042553191486	46.80851063829787	59.57446808510638	50.212765957446805	153.40425531914892	63.191489361702125	73.40425531914893	85.31914893617021	45.31914893617021	53.82978723404255	91.27659574468085	50.638297872340424	81.91489361702128	85.95744680851064	57.87234042553191	62.34042553191489	65.95744680851064	89.14893617021276	92.5531914893617	86.80851063829788	83.19148936170212	67.87234042553192	86.38297872340425	87.02127659574468	110.0	73.61702127659574	121.06382978723404	138.51063829787233	281.27659574468083	260.8510638297872	980.6382978723404	24203.1914893617	1317.0212765957447
10 - Adapter 1	0.35786645639191644	0.44082873787309695	0.6327911124548922	0.060739590520036926	0.5515256030098482	0.11033742900255164	1.111489873671546	1.018689339857223	12.06929740134745	40.7188703465982	148.4102564102564	103.46938775510203	327.7551020408163	110.61224489795917	341.0204081632653	287.7551020408163	237.34693877551018	317.1428571428571	233.0612244897959	174.0816326530612	265.51020408163265	172.44897959183672	263.46938775510205	200.40816326530611	228.97959183673467	178.57142857142856	247.7551020408163	145.1020408163265	253.0612244897959	181.42857142857142	171.6326530612245	235.30612244897958	174.0816326530612	160.81632653061223	129.3877551020408	134.89795918367346	126.12244897959182	135.1020408163265	132.0408163265306	154.0816326530612	160.61224489795916	144.6938775510204	104.6938775510204	138.3673469387755	147.34693877551018	165.91836734693877	155.1020408163265	124.69387755102039	74.89795918367346	94.89795918367346	146.73469387755102	104.28571428571428	99.59183673469387	111.83673469387755	87.95918367346938	100.61224489795917	109.79591836734693	73.67346938775509	68.16326530612244	67.95918367346938	67.14285714285714	67.55102040816325	70.61224489795917	74.08163265306122	121.22448979591836	43.46938775510204	55.91836734693877	48.77551020408163	38.16326530612245	62.65306122448979	53.06122448979591	92.85714285714285	54.08163265306122	50.20408163265306	72.0408163265306	49.18367346938775	51.0204081632653	57.14285714285714	49.59183673469387	58.97959183673469	68.97959183673468	76.3265306122449	53.06122448979591	49.795918367346935	67.95918367346938	119.99999999999999	60.61224489795918	63.6734693877551	63.06122448979591	63.877551020408156	75.3061224489796	78.57142857142857	63.469387755102034	88.77551020408163	98.16326530612244	207.75510204081633	226.1224489795918	876.1224489795918	21133.4693877551	1522.6530612244896
11 - Adapter 1	0.38828140344541084	0.47490974678535697	0.6582457970110394	0.06486027221007418	0.577171133645464	0.11176911446803534	1.1896097594787551	1.0341720385388506	11.793734405322983	41.68514412416852	190.75555555555556	112.50000000000001	325.53571428571433	129.46428571428572	305.17857142857144	290.0	212.85714285714286	274.1071428571429	231.07142857142858	158.39285714285714	255.89285714285717	147.5	230.89285714285717	154.82142857142858	186.60714285714286	142.14285714285714	180.17857142857144	119.82142857142858	166.42857142857144	118.39285714285715	145.71428571428572	145.71428571428572	99.64285714285715	129.82142857142858	107.67857142857143	125.71428571428572	91.07142857142858	106.42857142857143	112.32142857142858	170.35714285714286	96.78571428571429	107.67857142857143	74.46428571428572	78.03571428571429	80.53571428571429	95.71428571428572	113.21428571428572	94.46428571428572	96.78571428571429	78.92857142857143	116.78571428571429	88.39285714285715	67.14285714285715	62.50000000000001	56.78571428571429	66.60714285714286	143.39285714285714	70.89285714285715	59.28571428571429	62.67857142857143	71.25	51.42857142857143	59.464285714285715	64.28571428571429	91.60714285714286	57.50000000000001	57.142857142857146	58.392857142857146	44.642857142857146	58.57142857142858	41.78571428571429	111.78571428571429	52.85714285714286	50.53571428571429	79.28571428571429	43.214285714285715	60.892857142857146	75.53571428571429	47.85714285714286	63.392857142857146	70.71428571428572	70.35714285714286	53.392857142857146	63.392857142857146	71.25	100.71428571428572	75.71428571428572	72.85714285714286	66.60714285714286	61.07142857142858	56.964285714285715	86.07142857142858	46.78571428571429	75.53571428571429	73.92857142857143	155.89285714285714	159.82142857142858	390.89285714285717	7509.821428571429	392.5
12 - Adapter 1	0.3967520245612615	0.4904273344164448	0.6800732813205218	0.06779234328680488	0.6143007916632193	0.1205558403190068	1.1869167931290563	1.0648327521632444	12.030483079307672	43.646694214876035	187.35537190082644	109.66666666666667	313.0	136.33333333333334	292.0	275.0	209.83333333333334	295.1666666666667	253.83333333333334	162.16666666666666	236.0	140.16666666666666	199.83333333333334	147.83333333333334	165.83333333333334	139.66666666666666	150.0	128.83333333333334	157.5	110.83333333333333	138.0	126.83333333333333	114.66666666666667	136.16666666666666	121.16666666666667	93.83333333333333	106.16666666666667	84.5	70.0	149.0	86.66666666666667	103.33333333333333	84.66666666666667	87.0	93.0	93.0	77.83333333333333	88.16666666666667	104.66666666666667	80.66666666666667	110.16666666666667	64.66666666666667	74.5	74.16666666666667	60.5	72.33333333333333	127.16666666666667	69.16666666666667	63.833333333333336	73.66666666666667	78.16666666666667	66.5	60.666666666666664	62.0	97.33333333333333	54.5	68.66666666666667	54.0	50.666666666666664	66.0	62.5	136.83333333333334	59.666666666666664	52.0	90.5	49.5	60.333333333333336	78.5	64.83333333333333	79.83333333333333	76.83333333333333	77.5	62.5	63.833333333333336	81.5	102.33333333333333	86.66666666666667	68.83333333333333	64.83333333333333	60.166666666666664	62.0	81.16666666666667	36.0	64.16666666666667	72.33333333333333	123.16666666666667	137.66666666666666	242.66666666666666	2883.6666666666665	183.66666666666666
13 - Adapter 1	0.3746307761127911	0.4684989846106569	0.6509610984768989	0.06135067262796666	0.5711303704486604	0.10005460726805124	1.10837091319053	0.9427846674182638	11.189402480270575	41.41891891891892	177.3873873873874	107.5	268.92857142857144	128.92857142857144	265.3571428571429	251.7857142857143	170.71428571428572	252.85714285714286	213.92857142857144	138.21428571428572	250.35714285714286	127.14285714285715	181.42857142857144	141.07142857142858	149.64285714285714	135.0	161.7857142857143	119.64285714285715	148.21428571428572	142.14285714285714	136.42857142857144	112.85714285714286	115.35714285714286	117.50000000000001	120.35714285714286	86.78571428571429	65.0	86.42857142857143	75.71428571428572	152.85714285714286	90.35714285714286	114.28571428571429	70.35714285714286	69.64285714285715	80.71428571428572	82.85714285714286	107.14285714285715	88.21428571428572	91.42857142857143	88.57142857142858	121.78571428571429	83.21428571428572	81.78571428571429	84.64285714285715	57.85714285714286	80.0	144.2857142857143	73.92857142857143	75.35714285714286	65.0	73.57142857142857	59.28571428571429	84.64285714285715	67.85714285714286	96.78571428571429	55.714285714285715	68.92857142857143	59.28571428571429	54.642857142857146	65.71428571428572	55.0	121.42857142857143	56.78571428571429	53.92857142857143	96.78571428571429	37.142857142857146	65.35714285714286	76.78571428571429	67.14285714285715	70.35714285714286	118.21428571428572	91.07142857142858	57.142857142857146	62.50000000000001	81.42857142857143	118.21428571428572	81.42857142857143	91.78571428571429	76.07142857142857	71.78571428571429	52.85714285714286	90.0	54.642857142857146	82.14285714285715	81.78571428571429	120.35714285714286	141.42857142857144	260.7142857142857	4480.357142857143	190.35714285714286
14 - Adapter 1	0.3837174875092887	0.4675450391247535	0.6443690138887654	0.0656958203928364	0.5740549587833242	0.12782234141588567	1.1719081612965463	0.9847958632399475	11.4695893794381	44.5679012345679	203.11881188118812	138.4313725490196	390.7843137254902	130.19607843137257	365.0980392156863	363.33333333333337	262.3529411764706	377.64705882352945	275.29411764705884	196.66666666666669	280.19607843137254	167.25490196078434	263.33333333333337	182.3529411764706	226.86274509803923	152.15686274509804	197.25490196078434	129.01960784313727	183.33333333333334	123.72549019607844	153.1372549019608	142.54901960784315	119.01960784313727	144.31372549019608	120.00000000000001	138.62745098039215	105.68627450980392	102.3529411764706	69.41176470588236	145.68627450980392	95.68627450980392	129.80392156862746	100.98039215686275	102.54901960784315	89.01960784313727	113.52941176470588	95.09803921568628	116.07843137254903	110.78431372549021	99.6078431372549	122.74509803921569	84.31372549019608	84.70588235294119	71.1764705882353	58.82352941176471	73.92156862745098	109.2156862745098	67.05882352941177	58.03921568627452	68.23529411764706	70.19607843137256	63.529411764705884	57.450980392156865	57.05882352941177	103.52941176470588	59.21568627450981	64.31372549019608	61.568627450980394	53.13725490196079	41.568627450980394	50.392156862745104	120.78431372549021	52.352941176470594	53.333333333333336	78.43137254901961	46.66666666666667	59.80392156862745	63.72549019607843	46.07843137254902	70.3921568627451	73.33333333333334	66.07843137254902	56.66666666666667	60.392156862745104	78.43137254901961	102.3529411764706	72.74509803921569	68.03921568627452	63.13725490196079	61.568627450980394	61.9607843137255	79.01960784313727	49.6078431372549	73.33333333333334	87.05882352941177	152.94117647058823	146.07843137254903	421.56862745098044	8576.274509803921	580.3921568627451
15 - Adapter 1	0.3885533098149084	0.4739721400841817	0.6589771065291578	0.06593039035359001	0.5799512601183948	0.12868968395668606	1.2266968409727506	0.8955999109594123	11.813594538438707	49.95249406175772	207.34597156398104	123.77358490566039	403.20754716981133	135.0943396226415	413.20754716981133	363.5849056603774	261.1320754716981	416.9811320754717	276.6037735849057	176.9811320754717	274.7169811320755	171.69811320754718	288.3018867924528	204.7169811320755	221.69811320754718	164.9056603773585	185.47169811320757	113.39622641509435	192.83018867924528	125.28301886792454	160.37735849056605	181.32075471698113	121.88679245283019	148.11320754716982	110.18867924528303	91.32075471698114	126.22641509433963	85.28301886792453	87.35849056603774	150.0	80.37735849056604	137.16981132075472	85.84905660377359	94.15094339622642	100.37735849056604	101.32075471698114	115.28301886792453	100.9433962264151	97.73584905660378	77.16981132075472	121.88679245283019	61.69811320754717	93.01886792452831	70.9433962264151	53.77358490566038	60.0	101.13207547169812	47.924528301886795	47.16981132075472	51.88679245283019	63.20754716981132	57.54716981132076	51.509433962264154	55.84905660377359	104.15094339622642	42.64150943396226	55.84905660377359	46.9811320754717	39.81132075471698	54.15094339622642	50.75471698113208	98.67924528301887	44.15094339622642	50.37735849056604	61.509433962264154	35.660377358490564	56.79245283018868	52.07547169811321	35.84905660377358	58.301886792452834	63.0188679245283	61.320754716981135	53.39622641509434	47.924528301886795	80.0	97.54716981132076	71.88679245283019	60.37735849056604	55.84905660377359	52.64150943396226	47.54716981132076	67.9245283018868	42.07547169811321	65.66037735849056	79.24528301886792	136.03773584905662	148.49056603773585	384.33962264150944	9503.962264150943	514.7169811320755
16 - Adapter 1	0.38559835171151297	0.47998280550529937	0.6577914461866634	0.06726655180848966	0.5944396228481872	0.12466400963944758	1.1779773841824097	1.1311088641725648	13.364788352655703	50.47464940668824	218.75	144.82758620689657	404.48275862068965	138.44827586206898	399.82758620689657	378.44827586206895	251.3793103448276	390.6896551724138	290.0	187.0689655172414	277.41379310344826	167.41379310344828	281.3793103448276	199.6551724137931	232.75862068965517	163.44827586206898	217.0689655172414	146.0344827586207	190.0	146.3793103448276	171.20689655172416	171.3793103448276	141.72413793103448	153.9655172413793	131.20689655172413	116.55172413793103	126.37931034482759	98.96551724137932	99.48275862068965	163.9655172413793	108.96551724137932	132.58620689655172	91.20689655172414	87.75862068965517	91.0344827586207	106.55172413793103	99.82758620689656	89.65517241379311	95.17241379310344	85.17241379310344	113.10344827586208	77.58620689655173	90.0	76.20689655172414	61.724137931034484	85.3448275862069	141.72413793103448	69.48275862068965	75.3448275862069	69.13793103448276	79.13793103448276	64.3103448275862	64.3103448275862	71.20689655172414	105.86206896551724	59.13793103448276	63.44827586206897	56.896551724137936	54.48275862068966	69.82758620689656	59.827586206896555	153.27586206896552	63.275862068965516	61.03448275862069	95.86206896551724	49.6551724137931	76.0344827586207	65.3448275862069	61.37931034482759	87.93103448275862	75.17241379310344	76.72413793103449	62.06896551724138	64.3103448275862	82.41379310344828	105.6896551724138	82.24137931034483	64.13793103448276	61.37931034482759	58.275862068965516	54.827586206896555	80.3448275862069	48.793103448275865	66.37931034482759	84.48275862068965	135.17241379310346	130.0	268.44827586206895	3566.551724137931	238.6206896551724
2 - Adapter 1	0.3627458568501488	0.47569149175653097	0.6318176630674522	0.06126607195660761	0.556089159024146	0.10610652093207973	1.1223538349967193	0.8481834507528665	10.883977900552486	37.34513274336283	144.86725663716814	99.28571428571429	282.8571428571429	120.00000000000001	291.42857142857144	240.71428571428572	187.14285714285717	241.42857142857144	198.92857142857144	137.5	241.42857142857144	140.35714285714286	237.85714285714286	185.0	177.85714285714286	172.85714285714286	254.64285714285717	175.0	150.0	141.07142857142858	142.5	173.92857142857144	146.07142857142858	145.71428571428572	171.7857142857143	140.71428571428572	128.92857142857144	85.0	63.92857142857143	131.07142857142858	122.14285714285715	118.21428571428572	106.78571428571429	104.28571428571429	115.71428571428572	135.71428571428572	127.85714285714286	132.14285714285714	94.28571428571429	105.0	131.7857142857143	79.64285714285715	105.71428571428572	102.5	73.92857142857143	66.07142857142857	96.42857142857143	59.642857142857146	65.0	75.71428571428572	69.64285714285715	50.714285714285715	76.78571428571429	80.0	121.42857142857143	46.42857142857143	71.07142857142857	46.42857142857143	52.5	86.07142857142858	48.92857142857143	113.21428571428572	55.0	51.42857142857143	58.214285714285715	60.714285714285715	62.142857142857146	56.42857142857143	56.07142857142858	91.78571428571429	112.50000000000001	64.28571428571429	70.71428571428572	52.85714285714286	89.64285714285715	142.5	62.142857142857146	75.35714285714286	68.21428571428572	68.21428571428572	67.5	93.21428571428572	67.5	93.92857142857143	104.64285714285715	203.92857142857144	192.14285714285717	661.4285714285714	15020.357142857143	1115.357142857143
3 - Adapter 1	0.38452627745461887	0.47783251298152596	0.6491433922681905	0.06580442234282895	0.5854042777878764	0.1267669029750621	1.2147704452600236	0.9479952911848211	11.141274238227147	44.296788482835	191.94690265486724	134.64285714285714	363.92857142857144	136.96428571428572	391.42857142857144	357.5	261.9642857142857	408.75	276.7857142857143	200.5357142857143	281.7857142857143	182.5	326.78571428571433	224.82142857142858	267.5	176.96428571428572	241.25000000000003	135.89285714285714	251.7857142857143	155.71428571428572	184.82142857142858	205.0	144.46428571428572	173.0357142857143	131.96428571428572	156.60714285714286	118.75000000000001	173.57142857142858	79.64285714285715	156.60714285714286	112.14285714285715	126.07142857142858	113.21428571428572	133.57142857142858	123.39285714285715	123.75000000000001	130.17857142857144	116.25000000000001	105.35714285714286	87.14285714285715	146.60714285714286	81.78571428571429	96.25	81.60714285714286	70.35714285714286	64.64285714285715	106.42857142857143	60.00000000000001	66.07142857142857	65.71428571428572	58.57142857142858	52.67857142857143	63.03571428571429	68.03571428571429	103.21428571428572	36.785714285714285	55.35714285714286	41.25	47.142857142857146	56.78571428571429	60.17857142857143	112.67857142857143	48.57142857142858	56.25000000000001	63.75000000000001	48.57142857142858	60.53571428571429	47.5	47.32142857142858	75.17857142857143	66.78571428571429	77.85714285714286	58.75000000000001	56.07142857142858	77.14285714285715	102.67857142857143	83.92857142857143	62.67857142857143	54.10714285714286	50.53571428571429	64.64285714285715	85.53571428571429	49.82142857142858	85.89285714285715	89.46428571428572	156.7857142857143	158.39285714285714	387.67857142857144	7675.178571428572	396.42857142857144
