Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
1	10.829886644513582	0.9906269069923379
10	9.058562022178082	0.0
11	3.2283343753140237	0.0
12	1.0985966462121328	0.0
13	2.017328544727669	0.0
14	3.3975603872078706	0.0
15	3.8729555345253948	0.0
16	1.5461262315857174	0.0
2	5.847112496756083	0.611135786518493
3	3.3578997622161233	0.0
4	1.168794775732851	0.0
5	2.6888746839820463	0.0
6	4.789413122439156	0.0
7	0.7767364011523162	0.0
8	2.5257242808011653	0.0
9	1.9595352782817634	0.0
