Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
1	31.665059172233427	11.367855799992537	6.203561200692772	4.171884358173954	3.0344555737602525	2.3159021563681668	1.8415215929620248	1.5541415551018027	1.3462238689611399	13.786677289209253	3.2243794850166827	4.4387242119497525	0.8513091977228943	0.5950783601474172	0.13784451689920893	13.465381660808703
10	26.68839403743422	11.113302269146143	6.630104109511764	4.477617127121976	3.4018741025820525	2.6168000634692943	2.1913779735551198	1.7942310933517538	1.5789322887126038	16.6372887329715	4.1776398944722	6.063381185442666	1.3816946200913176	1.1717364095472829	0.07155993500096015	10.004066157589433
11	32.231369798641744	10.000165245569262	5.7035906374668635	4.068562403027715	3.159892995538653	2.5263683135062855	2.095841476875812	1.823366426284957	1.5694600223237936	18.233597305681506	4.962015713198898	7.272379374684467	1.596722933004336	1.359893479892176	0.05829398976276393	3.3384798845408814
12	36.55348271587329	10.811095177397242	6.0217024205514775	4.252411921587199	3.273002955822596	2.5829272655108286	2.053957768424773	1.9009176350588908	1.5262042441761323	17.838753242559193	4.367114813349518	5.899549891409308	1.0841211954652774	0.7074008923406662	0.006365447542052038	1.120992412931592
13	42.56347810138683	11.725499019548772	6.440680336171973	4.3012963094820815	3.1525802061573773	2.4634039098809812	2.0798301068064404	1.6180003038397677	1.3826412205895966	13.8819881393342	3.3873867277070064	4.130029170679196	0.5779583848163031	0.2240557095846513	0.0	2.071172354014897
14	33.22595051067549	10.418004841118037	5.957940638014382	4.130291765105434	3.1037225568399	2.5295847332242145	2.1110783356349963	1.8145715307498305	1.4912691538284473	17.492248204699056	4.505360520308228	6.956997205054417	1.5579934068410783	1.1618423617072575	0.03792864105407424	3.5052155951448984
15	28.49846006624976	9.889568659765379	5.941934760243035	4.210352649738517	3.1739472287106136	2.61416575448244	2.156223544209223	1.8665424836990585	1.6054316468395515	19.351222178927667	5.22921822171676	7.994566494465897	1.8628403531945645	1.5465061017964044	0.06646846698996119	3.992551388970987
16	37.03448748215894	10.328665501035205	5.818534686589234	4.068221384964303	3.1554569511177397	2.5458877144753735	2.1508351689256884	1.699103476061873	1.5108112008048993	17.59556204132179	4.607855088030814	6.080052798477711	1.124901209858886	0.6826221653998105	0.018032657680990556	1.5789704730966354
2	39.27575262248892	11.994462348577489	6.322580596724619	4.041795207346718	3.010777708811582	2.3253947472555665	1.8454780537293702	1.4904690893512638	1.2983520283574765	13.235238145595824	3.0559250794183073	3.780673074719275	0.6749486040522155	0.45583144190351094	0.09141533117554804	7.100905920492378
3	35.59004653259799	10.490417283570986	5.759634671338299	3.9941236901478154	3.101101741190262	2.459622056442513	2.011438580664709	1.821293288460547	1.5503744925385194	16.98836420587899	4.409574128068748	6.164025086281864	1.1774350249855632	0.7321469376532804	0.041281381884790136	3.7091208982950383
4	41.3250075924484	11.411751127099661	6.2849441434086595	4.281240411664255	3.1641530696642146	2.501245918090091	2.0274282209042283	1.7109307868073822	1.4896286147144926	15.506848077131707	3.5704411073115163	4.3379127260493675	0.602272973961011	0.33649107324473115	0.01812852970665523	1.4315756277935685
5	37.026476180844945	10.802109796492658	6.001856256222459	4.221430103552237	3.1746889803285687	2.5378540594851624	2.1432748091118263	1.775021561535161	1.512655536479957	16.828477162811804	4.0469278916371625	5.455080757156152	0.9163733917343221	0.6434502056743793	0.02989696378129804	2.884426343151999
6	32.14630520830292	10.155856731047507	5.763871255086813	4.113688302437392	3.0684575684474966	2.4138223908111844	2.08635258984804	1.8161363711912546	1.5130641669235674	17.893196689166555	4.581142086352048	6.717664337927705	1.4834553169519813	1.115313067870955	0.06230076771802448	5.069373149916799
7	38.597911023224704	10.508198173147463	5.923242985173975	4.045687248367614	3.0752066942920604	2.4129712555426472	1.9283692847167446	1.697912158090805	1.4227949966563558	15.385764380979893	3.8467167822951254	6.321338556744633	1.6999786991310117	1.9900982324122587	0.2058329917887078	0.937976537435957
8	35.18750333939161	11.803712876952043	6.449227624629035	4.35576046126139	3.3715533562574533	2.5816695527349607	2.1565027668110397	1.8024382837222168	1.4871051407829736	16.666095170203942	3.9761456527212142	5.5518134859476875	0.9956425672334867	0.7227410753232565	0.032567956042294434	2.8595206899852994
9	30.793858191096717	9.440866803262074	5.430073847269978	3.932812840862592	3.036002454577156	2.406573160306828	2.0440204050472763	1.722766839016923	1.4614118157020366	17.63066393455231	4.808979305642044	7.704557731129478	2.082224936962031	3.6484734781020074	1.187090946056825	2.6696233104135434
