Sample	Exonic	Intronic	Intergenic
1	48219580.0	12087025.0	3610835.0
10	50876917.0	13392940.0	4120459.0
11	63546679.0	16177451.0	3311143.0
12	69421368.0	19521395.0	3660380.0
13	32264344.0	7713319.0	1950237.0
14	56023847.0	15012834.0	3104385.0
15	59926427.0	14851990.0	1909657.0
16	63961333.0	19951536.0	4349805.0
2	31008101.0	7361037.0	1693447.0
3	63626663.0	16365462.0	3192107.0
4	47902478.0	14207831.0	3229466.0
5	60115552.0	16588130.0	3356249.0
6	65673668.0	17619955.0	3457885.0
7	61194285.0	18053297.0	8482196.0
8	52442609.0	15706619.0	4035658.0
9	67726314.0	16770253.0	3448549.0
