Sample	Sense	Antisense	Undetermined
1	1.69	94.27	4.04
10	1.6099999999999999	94.51	3.88
11	2.13	93.38	4.49
12	2.5700000000000003	94.62	2.81
13	1.32	94.59	4.09
14	2.1999999999999997	93.26	4.55
15	2.21	93.06	4.72
16	3.34	93.94	2.7199999999999998
2	1.7000000000000002	94.51	3.7900000000000005
3	2.6599999999999997	92.78999999999999	4.5600000000000005
4	2.12	94.03	3.8600000000000003
5	2.21	93.53	4.2700000000000005
6	2.44	93.30000000000001	4.26
7	2.32	94.14	3.53
8	2.2399999999999998	93.72	4.04
9	1.9300000000000002	93.61	4.46
