Sample	Known Splicing Events	Partial Novel Splicing Events	Novel Splicing Events
1	3244918.0	63585.0	25922.0
10	2909104.0	62411.0	26054.0
11	3935501.0	95719.0	42232.0
12	4421444.0	118526.0	50229.0
13	3186941.0	64490.0	24479.0
14	3948727.0	101255.0	41826.0
15	3806965.0	93871.0	36964.0
16	4338934.0	125637.0	55756.0
2	2656820.0	46687.0	18482.0
3	3998890.0	96238.0	41598.0
4	3764712.0	84864.0	36340.0
5	4047295.0	97885.0	41924.0
6	3986634.0	98031.0	41773.0
7	4033612.0	105191.0	44145.0
8	3506396.0	80407.0	35363.0
9	4238410.0	106945.0	45088.0
