Sample	Known Splicing Junctions	Partial Novel Splicing Junctions	Novel Splicing Junctions
1	157554.0	32449.0	13866.0
10	154906.0	31985.0	14458.0
11	164606.0	43039.0	20903.0
12	170105.0	50879.0	24318.0
13	157139.0	32689.0	12987.0
14	166847.0	45480.0	21301.0
15	163780.0	42205.0	18774.0
16	173680.0	54587.0	28086.0
2	150442.0	25268.0	10306.0
3	165095.0	42824.0	20595.0
4	163420.0	40281.0	18259.0
5	166889.0	44726.0	20783.0
6	166642.0	44637.0	21389.0
7	168681.0	47932.0	21661.0
8	162851.0	39306.0	18712.0
9	168059.0	47266.0	22286.0
