Sample	CDS_Exons	Introns	TSS_up_1kb	TSS_up_1kb-5kb	TSS_up_5kb-10kb	TES_down_1kb	TES_down_1kb-5kb	TES_down_5kb-10kb	Other_intergenic
1	12633920.0	1470152.0	31415.0	28031.0	17198.0	71844.0	107646.0	34426.0	346988.0
10	11359282.0	1431219.0	30974.0	28550.0	18145.0	65104.0	102592.0	35880.0	342176.0
11	15744139.0	2599098.0	48312.0	48623.0	33449.0	111146.0	187386.0	71201.0	576072.0
12	17512293.0	3613691.0	62441.0	58140.0	40980.0	125914.0	212550.0	84172.0	688490.0
13	12384335.0	1200028.0	28062.0	23763.0	15880.0	69469.0	103706.0	34896.0	325122.0
14	15434981.0	2366197.0	45796.0	43930.0	32673.0	97787.0	162176.0	66795.0	557188.0
15	14530155.0	1340440.0	40261.0	31585.0	23279.0	77522.0	116321.0	43699.0	438424.0
16	16975431.0	4395635.0	65434.0	81490.0	65535.0	139263.0	267090.0	137539.0	1035104.0
2	10274669.0	809712.0	24120.0	18248.0	11987.0	52917.0	80089.0	24947.0	259980.0
3	16169306.0	2365542.0	52407.0	45597.0	31359.0	108823.0	176270.0	65145.0	547199.0
4	14793676.0	2989488.0	43952.0	45699.0	31673.0	96267.0	163674.0	64575.0	535872.0
5	16056629.0	2879711.0	51798.0	47408.0	32976.0	107950.0	178820.0	67982.0	567541.0
6	15782061.0	2610935.0	49719.0	46564.0	32566.0	106675.0	175396.0	67123.0	576643.0
7	16210093.0	3400227.0	49697.0	54822.0	33221.0	111723.0	184144.0	68581.0	575170.0
8	13801132.0	2855336.0	39749.0	44552.0	32479.0	91676.0	160427.0	66748.0	540144.0
9	16759105.0	2297494.0	51437.0	46751.0	32229.0	117155.0	184675.0	65192.0	574401.0
