	1	4	6	9	11	14	16	19	21	24	26	29	31	34	36	39	41	44	46	49	51	54	56	59	61	64	66	69	71	74	76	79	81	84	86	89	91	94	96	99	101	104	106	109	111	114	116	119	121	124	126	129	131	134	136	139	141	144	146	149	151	154	156	159	161	164	166	169	172	174	177	179	182	184	187	189	192	194	197	199	202	204	207	209	212	214	217	219	222	224	227	229	232	234	237	239	242	244	247	249	252	254	257	259	262	264	267	269	272	274	277	279	282	284	287	289	292	294	297	299	302	304	307	309	312	314	317	319	322	324	327	329	332	335	337	340	342	345	347	350	352	355	357	360	362	365	367	370	372	375	377	380	382	385	387	390	392	395	397	400	402	405	407	410	412	415	417	420	422	425	427	430	432	435	437	440	442	445	447	450	452	455	457	460	462	465	467	470	472	475	477	480	482	485	487	490	492	495	497	500
1	7916457	1003884	459740	192605	121379	68418	49383	31914	24877	17793	14309	10855	9087	7108	6114	5177	4543	3824	3245	2850	2602	2148	2030	1696	1577	1411	1307	1193	1099	975	926	875	795	685	704	634	601	526	456	473	454	408	396	363	370	340	325	305	309	289	275	267	221	214	210	212	222	187	184	186	171	165	164	150	161	157	132	119	124	106	95	130	105	91	118	99	79	81	86	92	89	77	74	69	63	63	73	61	58	51	44	56	52	67	44	61	54	62	41	43	52	45	52	38	54	40	30	41	39	36	44	40	35	33	25	36	41	28	40	26	27	27	33	31	29	28	28	31	18	28	31	35	23	14	25	27	19	22	24	33	15	16	19	18	16	21	16	19	16	23	18	12	10	21	16	16	19	15	17	15	11	20	14	15	17	12	14	17	23	12	16	17	15	9	7	4	16	14	8	12	14	12	15	13	5	9	8	15	9	15	9	14	5	15	7	7	10	3	12	6
	1	4	6	9	11	14	16	19	21	24	26	29	31	34	36	39	41	44	46	49	51	54	56	59	61	64	66	69	71	74	76	79	81	84	86	89	91	94	96	99	101	104	106	109	111	114	116	119	121	124	126	129	131	134	136	139	141	144	146	149	151	154	156	159	161	164	166	169	172	174	177	179	182	184	187	189	192	194	197	199	202	204	207	209	212	214	217	219	222	224	227	229	232	234	237	239	242	244	247	249	252	254	257	259	262	264	267	269	272	274	277	279	282	284	287	289	292	294	297	299	302	304	307	309	312	314	317	319	322	324	327	329	332	335	337	340	342	345	347	350	352	355	357	360	362	365	367	370	372	375	377	380	382	385	387	390	392	395	397	400	402	405	407	410	412	415	417	420	422	425	427	430	432	435	437	440	442	445	447	450	452	455	457	460	462	465	467	470	472	475	477	480	482	485	487	490	492	495	497	500
10	7433497	1058740	458807	187042	118633	67548	49602	32755	26059	18799	15685	12050	10177	8253	7025	5861	5215	4491	4002	3412	3075	2673	2369	2160	1971	1740	1580	1468	1318	1219	1146	1008	964	884	850	779	726	655	661	641	544	521	489	440	415	407	393	412	355	321	316	325	292	240	256	225	226	256	226	210	186	185	220	204	162	160	151	166	156	135	138	133	132	137	117	124	112	118	102	80	104	98	91	91	74	84	86	84	67	75	59	90	71	64	66	57	67	70	62	59	68	51	44	61	39	44	46	51	45	45	48	33	52	44	46	33	36	34	24	34	42	38	38	38	36	23	37	27	32	32	31	29	31	30	26	32	27	31	22	27	33	19	23	21	31	24	24	17	25	29	23	21	21	25	21	15	12	25	16	16	14	18	9	18	10	15	23	16	14	21	16	12	16	15	14	14	20	14	13	16	20	12	15	11	14	15	16	8	8	7	14	17	13	13	13	16	7	7	12	12
	1	4	6	9	11	14	16	19	21	24	26	29	31	34	36	39	41	44	46	49	51	54	56	59	61	64	66	69	71	74	76	79	81	84	86	89	91	94	96	99	101	104	106	109	111	114	116	119	121	124	126	129	131	134	136	139	141	144	146	149	151	154	156	159	161	164	166	169	172	174	177	179	182	184	187	189	192	194	197	199	202	204	207	209	212	214	217	219	222	224	227	229	232	234	237	239	242	244	247	249	252	254	257	259	262	264	267	269	272	274	277	279	282	284	287	289	292	294	297	299	302	304	307	309	312	314	317	319	322	324	327	329	332	335	337	340	342	345	347	350	352	355	357	360	362	365	367	370	372	375	377	380	382	385	387	390	392	395	397	400	402	405	407	410	412	415	417	420	422	425	427	430	432	435	437	440	442	445	447	450	452	455	457	460	462	465	467	470	472	475	477	480	482	485	487	490	492	495	497	500
11	13236586	1066520	475603	205052	132239	77912	57981	38692	30700	22588	18815	14986	12532	10054	8871	7185	6415	5475	4967	4179	3766	3282	3003	2705	2505	2176	2161	1825	1764	1601	1436	1279	1272	1187	1120	964	914	888	838	780	740	696	663	589	589	565	502	450	486	455	431	397	376	352	343	349	350	307	298	283	281	287	236	246	253	202	217	173	236	211	188	189	172	155	167	194	141	143	159	154	130	118	130	127	133	114	127	106	103	111	100	105	85	85	91	101	66	93	73	87	83	85	68	79	72	68	69	80	75	53	69	55	59	67	71	64	66	58	52	54	47	48	39	42	38	48	39	57	42	37	53	39	42	44	41	44	39	31	34	39	45	36	28	31	30	35	33	27	31	30	33	25	29	23	27	20	23	21	28	21	30	19	13	24	22	31	23	23	22	22	26	17	18	20	19	19	18	26	15	21	14	16	21	18	15	18	17	13	14	13	12	12	14	20	17	16	14	11	19	9
	1	4	6	9	11	14	16	19	21	24	26	29	31	34	36	39	41	44	46	49	51	54	56	59	61	64	66	69	71	74	76	79	81	84	86	89	91	94	96	99	101	104	106	109	111	114	116	119	121	124	126	129	131	134	136	139	141	144	146	149	151	154	156	159	161	164	166	169	172	174	177	179	182	184	187	189	192	194	197	199	202	204	207	209	212	214	217	219	222	224	227	229	232	234	237	239	242	244	247	249	252	254	257	259	262	264	267	269	272	274	277	279	282	284	287	289	292	294	297	299	302	304	307	309	312	314	317	319	322	324	327	329	332	335	337	340	342	345	347	350	352	355	357	360	362	365	367	370	372	375	377	380	382	385	387	390	392	395	397	400	402	405	407	410	412	415	417	420	422	425	427	430	432	435	437	440	442	445	447	450	452	455	457	460	462	465	467	470	472	475	477	480	482	485	487	490	492	495	497	500
12	15678622	1213100	546925	234797	151516	89053	65408	43998	34960	25531	21400	16232	13753	11179	9898	8233	7185	5968	5298	4532	4151	3721	3293	2918	2705	2329	2100	2008	1859	1636	1550	1403	1322	1187	1133	1075	1012	928	869	781	732	694	658	662	624	591	531	516	495	466	421	406	350	354	361	356	347	341	284	306	278	278	277	237	270	184	241	236	218	194	208	201	179	165	179	190	152	169	142	141	122	118	136	136	127	100	91	118	123	87	107	102	100	94	85	86	85	84	83	90	74	79	75	85	65	66	73	66	71	72	58	46	53	61	57	62	54	45	50	47	47	45	47	53	41	42	45	45	53	37	43	51	46	36	38	45	33	39	55	34	43	36	39	46	28	32	25	27	29	30	35	41	24	33	23	25	29	18	27	26	31	22	21	23	27	15	27	26	25	25	29	27	24	15	18	21	22	21	18	20	20	14	19	14	15	13	11	17	14	11	11	19	9	18	14	13	16	15	15	12
	1	4	6	9	11	14	16	19	21	24	26	29	31	34	36	39	41	44	46	49	51	54	56	59	61	64	66	69	71	74	76	79	81	84	86	89	91	94	96	99	101	104	106	109	111	114	116	119	121	124	126	129	131	134	136	139	141	144	146	149	151	154	156	159	161	164	166	169	171	174	176	179	181	184	186	189	191	194	196	199	201	204	206	209	211	214	216	219	221	224	226	229	231	234	236	239	241	244	246	249	251	254	256	259	261	264	266	269	271	274	276	279	281	284	286	289	291	294	296	299	301	304	306	309	311	314	316	319	321	324	326	329	331	334	336	339	341	344	346	349	351	354	356	359	361	364	366	369	371	374	376	379	381	384	386	389	391	394	396	399	401	404	406	409	411	414	416	419	421	424	426	429	431	434	436	439	441	444	446	449	451	454	456	459	461	464	466	469	471	474	476	479	481	485	487	490	492	495	497	500
13	9354663	634357	264770	103351	63659	35352	25061	16375	12896	9190	7433	5597	4969	3790	3332	2691	2455	1976	1819	1577	1362	1230	1092	947	911	745	706	643	640	517	522	476	434	409	407	363	326	301	297	267	230	223	224	233	196	178	211	171	158	131	120	148	149	144	112	104	131	120	85	103	89	77	88	82	73	77	79	68	59	87	58	62	57	54	64	58	49	60	58	46	45	46	45	39	30	47	47	31	32	34	25	33	20	26	32	26	25	25	22	23	23	22	27	24	23	26	22	19	23	19	22	17	16	18	14	21	15	21	20	19	8	16	12	24	13	13	9	11	13	15	13	15	9	6	13	10	5	12	14	8	8	11	6	8	12	8	10	16	12	10	6	8	7	11	10	2	9	5	5	9	7	6	4	4	6	6	5	9	12	5	5	3	6	6	7	4	8	4	9	5	3	5	3	3	4	6	5	3	3	1	4	5	8	12	7	4	3	2	4	4
