Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
1	64414403.0	3908610.0	8294.0	2522842.0	7087.0
10	68939331.0	4389005.0	12491.0	827818.0	7458.0
11	83750346.0	7048395.0	17119.0	605648.0	18079.0
12	93355673.0	6360521.0	18562.0	586880.0	19894.0
13	42272600.0	2995492.0	6333.0	268981.0	4559.0
14	74778499.0	6552589.0	13232.0	621144.0	8282.0
15	77383009.0	6710242.0	13157.0	723291.0	8509.0
16	88944027.0	5986139.0	23802.0	711700.0	19235.0
2	40387936.0	2514027.0	6401.0	1701528.0	4466.0
3	83876226.0	6110600.0	14817.0	1392484.0	9161.0
4	65833818.0	3719755.0	13225.0	832044.0	14102.0
5	80687244.0	5361514.0	17825.0	684917.0	17340.0
6	87471038.0	6698773.0	16999.0	930572.0	18991.0
7	88371592.0	5454553.0	16002.0	1042029.0	18946.0
8	72732578.0	4634804.0	20023.0	1048183.0	15762.0
9	88702915.0	14435095.0	17754.0	969446.0	10424.0
