Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
1	3.4	79624730	9774668	79624730	7344231323	310242941	7005894181	4.606842120296869
10	3.4	81706434	10619812	81706434	7579341833	268504422	7282371045	3.918160633777025
11	3.4	94549097	13155708	94549097	9144828189	118914912	9000725233	1.5757863682265405
12	3.4	101486383	14443398	101486383	9960898944	51958295	9884340282	0.7685918954746099
13	3.4	46505117	6277237	46505117	4539168068	37145621	4490706697	1.067626716482268
14	3.4	84917902	11673836	84917902	8201315699	112535337	8065544809	1.6554769378839393
15	3.4	88323942	12308632	88323942	8485247163	131055601	8329494959	1.835564727909859
16	3.4	97221816	13481505	97221816	9489595722	65210243	9400590568	0.9379235597324428
2	3.4	47442648	6303831	47442648	4508540387	102110351	4391680914	2.591957994586331
3	3.4	94639722	13094655	94639722	9113215827	123216361	8964538403	1.6314485119457929
4	3.4	71267259	10168497	71267259	7003990075	36965255	6949684734	0.7753486286886264
5	3.4	89214868	12489474	89214868	8658262257	94222925	8540695454	1.3578568020961714
6	3.4	100010980	13610675	100010980	9563835122	181180234	9354012008	2.193922326382824
7	3.4	95668878	12939295	95668878	9421372212	37114169	9362419427	0.6257345923018713
8	3.4	80529851	11239196	80529851	7825869303	81599365	7722987544	1.3146368156258488
9	3.4	106262389	14668548	106262389	10348318404	87320589	10234580433	1.0990961677023405
