Sample	Custom content: DupRadar_mqc-generalstats-custom_content_dupradar-dupRadar_intercept	Picard: Mark Duplicates_mqc-generalstats-picard_mark_duplicates-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-median_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-median_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
1		0.836406	0.84	68323013.0	0.002383766	9525778.0	68323013.0	100.0	0.0	1.2717457293635455	68323013.0	77848791	77848791	100.0	90.9	64414403.0	57.09180710684299	50.0	91.87632289616555	100	45.45454545454545	79624730.0	4.606842120296869	50.57091466121158	50.0	98.63715733098418	100	27.27272727272727	70861236.0
1.0	0.374672948391998																												
10		0.860709	0.85	73328336.0	0.002449385	11329662.0	73328336.0	100.0	0.0	1.4762396899337793	73328336.0	84657998	84657998	100.0	92.94	68939331.0	61.57478665222903	52.0	92.3961831451364	100	45.45454545454545	81706434.0	3.918160633777025	56.34716621543118	52.0	97.92722747917884	100	27.27272727272727	74176103.0
10.0	0.465730838529926																												
11		0.834356	0.91	90798741.0	0.002527009	24571673.0	90798741.0	100.0	0.0	3.1799703037732647	90798741.0	115370414	115370414	100.0	91.59	83750346.0	56.98792704938672	52.0	96.39250625524218	100	45.45454545454545	94549097.0	1.5757863682265405	54.772927047348645	52.0	98.18456393509301	100	27.27272727272727	91439587.0
11.0	0.15153902154291																												
12		0.825	0.9	99716194.0	0.002585059	18296291.0	99716194.0	100.0	0.0	1.8991529099074922	99716194.0	118012485	118012485	100.0	93.04	93355673.0	52.09446113851275	52.0	97.83743860494073	100	36.36363636363637	101486383.0	0.7685918954746099	50.98171187297091	52.0	98.25890095556646	100	27.27272727272727	100341530.0
12.0	0.135972973234015																												
13		0.763727	0.86	45268092.0	0.002333909	9024029.0	45268092.0	100.0	0.0	2.1554851483468753	45268092.0	54292121	54292121	100.0	92.81	42272600.0	45.804015393942024	51.0	97.29441132252178	100	27.27272727272727	46505117.0	1.067626716482268	44.157008072478796	51.0	98.35018956390257	100	18.181818181818183	45547965.0
13.0	0.112643879135735																												
14		0.822733	0.95	81331088.0	0.002688698	22668117.0	81331088.0	100.0	0.0	3.261919968413554	81331088.0	103999205	103999205	100.0	91.22	74778499.0	55.73601406696214	52.0	96.2485904326746	100	45.45454545454545	84917902.0	1.6554769378839393	53.509548708286076	52.0	98.13997176608228	100	27.27272727272727	81973746.0
14.0	0.155917000694235																												
15		0.851942	1.04	84093251.0	0.00252777	22986489.0	84093251.0	100.0	0.0	3.2139737349433664	84093251.0	107079740	107079740	100.0	91.21	77383009.0	60.55468841308701	53.0	95.72516314998713	100	45.45454545454545	88323942.0	1.835564727909859	58.13366261657348	53.0	97.92043917287833	100	27.27272727272727	84838208.0
15.0	0.188742636147074																												
16		0.807535	1.01	94930166.0	0.002586234	16556262.0	94930166.0	100.0	0.0	1.7499400559354334	94930166.0	111486428	111486428	100.0	92.96	88944027.0	52.02776465938599	52.0	97.28802899546744	100	36.36363636363637	97221816.0	0.9379235597324428	50.4800626087887	52.0	97.99141480030553	100	27.27272727272727	95684903.0
16.0	0.125080374277666																												
2		0.798	0.84	42901963.0	0.002477936	6828618.0	42901963.0	100.0	0.0	1.5959409596246212	42901963.0	49730581	49730581	100.0	90.53	40387936.0	49.20835705338917	52.0	94.69236927921898	100	36.36363636363637	47442648.0	2.591957994586331	44.922175753032434	52.0	98.19282119895125	100	18.181818181818183	44614358.0
2.0	0.262877086570898																												
3		0.831952	0.88	89986826.0	0.002576421	18606501.0	89986826.0	100.0	0.0	2.247560103964551	89986826.0	108593327	108593327	100.0	91.76	83876226.0	53.49151188882685	52.0	95.9599710151304	100	45.45454545454545	94639722.0	1.6314485119457929	50.651661989428185	52.0	97.82277937310089	100	27.27272727272727	91403288.0
3.0	0.155890100130923																												
4		0.790265	0.88	69553573.0	0.002497371	8841377.0	69553573.0	100.0	0.0	1.0907462654722282	69553573.0	78394950	78394950	100.0	93.5	65833818.0	47.13409067865447	52.0	97.9717721990683	100	27.27272727272727	71267259.0	0.7753486286886264	45.99416862072402	52.0	98.45812039899937	100	18.181818181818183	70412944.0
4.0	0.165094535720897																												
5		0.819953	0.87	86048758.0	0.002548813	15994032.0	86048758.0	100.0	0.0	1.9827468050148962	86048758.0	102042790	102042790	100.0	92.99	80687244.0	51.73263486114606	52.0	96.72656145161814	100	45.45454545454545	89214868.0	1.3578568020961714	49.50485180278894	52.0	98.18349308346176	100	18.181818181818183	86768840.0
5.0	0.160743151432664																												
6		0.840567	0.88	94169811.0	0.002600518	21370185.0	94169811.0	100.0	0.0	2.5292150156274604	94169811.0	115539996	115539996	100.0	91.94	87471038.0	57.022350403886875	52.0	95.28896597153633	100	45.45454545454545	100010980.0	2.193922326382824	53.8096171567114	52.0	98.07230284047091	100	27.27272727272727	95136373.0
6.0	0.199806194207534																												
7		0.827643	0.83	93826145.0	0.002509714	11228806.0	93826145.0	100.0	0.0	0.8866750307177174	93826145.0	105054951	105054951	100.0	93.12	88371592.0	50.54720063472468	50.0	98.18703819229489	100	27.27272727272727	95668878.0	0.6257345923018713	49.490680569012966	50.0	98.41898579479819	100	18.181818181818183	94903122.0
7.0	0.165451541690616																												
8		0.822537	0.88	77367382.0	0.002627439	12535898.0	77367382.0	100.0	0.0	1.5960046315125411	77367382.0	89903280	89903280	100.0	92.71	72732578.0	52.84007884551926	51.0	96.86332458258242	100	45.45454545454545	80529851.0	1.3146368156258488	50.78777634899328	51.0	98.20004259964934	100	27.27272727272727	78451350.0
8.0	0.27232063875048																												
9		0.850509	0.92	103138010.0	0.002459101	72365614.0	103138010.0	100.0	0.0	9.522673551680898	103138010.0	175503624	175503624	100.0	85.18	88702915.0	58.94171890966031	52.0	97.0664408834249	100	36.36363636363637	106262389.0	1.0990961677023405	57.12570931089158	51.0	98.03292513684605	100	27.27272727272727	104135634.0
9.0	0.1513788321873																												
