Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
1	Unknown Library	68323013.0	0.0	9525778.0	0.0	57145775.0	0.0	0.0	0.836406	
10	Unknown Library	73328336.0	0.0	11329662.0	0.0	63114359.0	0.0	0.0	0.860709	
11	Unknown Library	90798741.0	0.0	24571673.0	0.0	75758496.0	0.0	0.0	0.834356	
12	Unknown Library	99716194.0	0.0	18296291.0	0.0	82265814.0	0.0	0.0	0.825	
13	Unknown Library	45268092.0	0.0	9024029.0	0.0	34572481.0	0.0	0.0	0.763727	
14	Unknown Library	81331088.0	0.0	22668117.0	0.0	66913808.0	0.0	0.0	0.822733	
15	Unknown Library	84093251.0	0.0	22986489.0	0.0	71642555.0	0.0	0.0	0.851942	
16	Unknown Library	94930166.0	0.0	16556262.0	0.0	76659457.0	0.0	0.0	0.807535	
2	Unknown Library	42901963.0	0.0	6828618.0	0.0	34235786.0	0.0	0.0	0.798	
3	Unknown Library	89986826.0	0.0	18606501.0	0.0	74864705.0	0.0	0.0	0.831952	
4	Unknown Library	69553573.0	0.0	8841377.0	0.0	54965781.0	0.0	0.0	0.790265	
5	Unknown Library	86048758.0	0.0	15994032.0	0.0	70555958.0	0.0	0.0	0.819953	
6	Unknown Library	94169811.0	0.0	21370185.0	0.0	79156020.0	0.0	0.0	0.840567	
7	Unknown Library	93826145.0	0.0	11228806.0	0.0	77654555.0	0.0	0.0	0.827643	
8	Unknown Library	77367382.0	0.0	12535898.0	0.0	63637543.0	0.0	0.0	0.822537	
9	Unknown Library	103138010.0	0.0	72365614.0	0.0	87719805.0	0.0	0.0	0.850509	
