Sample	total_records	qc_failed	optical_pcr_duplicate	non_primary_hits	unmapped_reads	mapq_lt_mapq_cut_non-unique	mapq_gte_mapq_cut_unique	read_1	read_2	reads_map_to_sense	reads_map_to_antisense	non-splice_reads	splice_reads	reads_mapped_in_proper_pairs	proper-paired_reads_map_to_different_chrom	unique_percent	proper_pairs_percent
1	77848791	0	57145775	9525778	0	380904	10796334	0	0	5296370	5499964	7700430	3095904	0	0	13.868338687494838	0.0
10	84657998	0	63114359	11329662	0	375067	9838910	0	0	4826388	5012522	7047834	2791076	0	0	11.62194976545512	0.0
11	115370414	0	75758496	24571673	0	538470	14501775	0	0	7097626	7404149	10712283	3789492	0	0	12.569752068324899	0.0
12	118012485	0	82265814	18296291	0	636720	16813660	0	0	8231356	8582304	12541390	4272270	0	0	14.247356963968686	0.0
13	54292121	0	34572481	9024029	0	347802	10347809	0	0	5079034	5268775	7304178	3043631	0	0	19.059504048478786	0.0
14	103999205	0	66913808	22668117	0	521657	13895623	0	0	6814857	7080766	10091669	3803954	0	0	13.361278098231615	0.0
15	107079740	0	71642555	22986489	0	442975	12007721	0	0	5899791	6107930	8346597	3661124	0	0	11.21381224870363	0.0
16	111486428	0	76659457	16556262	0	672307	17598402	0	0	8620439	8977963	13395663	4202739	0	0	15.785241590124317	0.0
2	49730581	0	34235786	6828618	0	292704	8373473	0	0	4111140	4262333	5840810	2532663	0	0	16.837673784667828	0.0
3	108593327	0	74864705	18606501	0	545843	14576278	0	0	7135358	7440920	10725351	3850927	0	0	13.422811882354429	0.0
4	78394950	0	54965781	8841377	0	516620	14071172	0	0	6886442	7184730	10453796	3617376	0	0	17.94907962821585	0.0
5	102042790	0	70555958	15994032	0	551003	14941797	0	0	7313597	7628200	11044248	3897549	0	0	14.642677841325193	0.0
6	115539996	0	79156020	21370185	0	551385	14462406	0	0	7085176	7377230	10623690	3838716	0	0	12.5172290987443	0.0
7	105054951	0	77654555	11228806	0	568947	15602643	0	0	7645388	7957255	11712266	3890377	0	0	14.851887370829386	0.0
8	89903280	0	63637543	12535898	0	514878	13214961	0	0	6470709	6744252	9844367	3370594	0	0	14.69908661841926	0.0
9	175503624	0	87719805	72365614	0	564445	14853760	0	0	7280381	7573379	10773106	4080654	0	0	8.463506143895923	0.0
