Sample	total_splicing_events	known_splicing_events	partial_novel_splicing_events	novel_splicing_events	total_splicing_junctions	known_splicing_junctions	partial_novel_splicing_junctions	novel_splicing_junctions	known_splicing_events_pct	partial_novel_splicing_events_pct	novel_splicing_events_pct	known_splicing_junctions_pct	partial_novel_splicing_junctions_pct	novel_splicing_junctions_pct
1	3335779	3244918	63585	25922	203869	157554	32449	13866	97.27616847518975	1.9061514566762368	0.7770898491776584	77.28198009506104	15.916593498766366	6.801426406172591
10	2999023	2909104	62411	26054	201349	154906	31985	14458	97.00172356130646	2.081044393457469	0.8687495894496307	76.93407963287625	15.885353292045156	7.180567075078595
11	4075679	3935501	95719	42232	228548	164606	43039	20903	96.5606221687233	2.3485411878609677	1.0361954412994743	72.02250730699896	18.83149272800462	9.145999964996413
12	4592814	4421444	118526	50229	245302	170105	50879	24318	96.26873633463057	2.5806836505898127	1.0936432435539518	69.34513375349569	20.741371859992988	9.91349438651132
13	3277246	3186941	64490	24479	202815	157139	32689	12987	97.24448515613415	1.9678107777078684	0.7469381303692185	77.47898330991298	16.117644158469542	6.403372531617483
14	4093916	3948727	101255	41826	233628	166847	45480	21301	96.45354228078935	2.4733042886077783	1.0216623887739757	71.41566935470064	19.466844727515536	9.117485917783826
15	3939340	3806965	93871	36964	224759	163780	42205	18774	96.63966552772798	2.3829118583315987	0.9383297709768642	72.86916208027264	18.777890985455535	8.35294693427182
16	4523111	4338934	125637	55756	256353	173680	54587	28086	95.92809020163334	2.777667848522842	1.2326913931583816	67.75032864838718	21.293684879833666	10.955986471779148
2	2722934	2656820	46687	18482	186016	150442	25268	10306	97.57195730781577	1.7145843417431343	0.6787531390771866	80.87583863753656	13.583777739549285	5.540383622914158
3	4138832	3998890	96238	41598	228514	165095	42824	20595	96.61880453229317	2.3252453832385562	1.0050661635939802	72.24721461267143	18.74020847737994	9.012576909948624
4	3888160	3764712	84864	36340	221960	163420	40281	18259	96.82502777663471	2.1826262293732768	0.9346323196576273	73.62587853667327	18.1478644800865	8.226256983240225
5	4189231	4047295	97885	41924	232398	166889	44726	20783	96.61188413816284	2.336586356780039	1.000756463417749	71.81171955008219	19.245432404753913	8.942848045163899
6	4128473	3986634	98031	41773	232668	166642	44637	21389	96.56437137895779	2.374509897485099	1.011826890959442	71.62222566059793	19.18484707824024	9.192927261161827
7	4185307	4033612	105191	44145	238274	168681	47932	21661	96.37553469793255	2.5133401205694113	1.054761335309453	70.7928687141694	20.116336654439845	9.090794631390752
8	3624184	3506396	80407	35363	220869	162851	39306	18712	96.74994426331554	2.218623557744309	0.9757506793253323	73.73194065260404	17.79606916316912	8.471990184226849
9	4392368	4238410	106945	45088	237611	168059	47266	22286	96.49487474637827	2.4347914382401474	1.0265077971608936	70.72862788338924	19.892176708990743	9.379195407620019
