Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
1	11177238	14741620	14394632	89244963	12633920	141.56	0	0	0.0	0	0	0.0	1305291099	1470152	1.13	22119018	31415	1.42	0.6	0.42	23731890	71844	3.03	1.76	1.18	346988	85.7023854908755	0.0	0.0	9.972798104957258	0.21310412288473046	0.4032528310999741	0.5199157216099723	0.4873548497383598	1.2175731025491092	1.4511023890183032	2.3537982935389734	82399615	77480840	17198	28031	78695974	78163896	34426	107646
10	10213977	13413922	13071746	89244963	11359282	127.28	0	0	0.0	0	0	0.0	1305291099	1431219	1.1	22119018	30974	1.4	0.6	0.43	23731890	65104	2.74	1.65	1.13	342176	84.68277957781474	0.0	0.0	10.669653513715078	0.23090934925669016	0.4437479210032681	0.5790178293865136	0.4853464929943681	1.2501638223332445	1.5176471132007476	2.550901965882909	82399615	77480840	18145	28550	78695974	78163896	35880	102592
11	15040245	19419426	18843354	89244963	15744139	176.41	0	0	0.0	0	0	0.0	1305291099	2599098	1.99	22119018	48312	2.18	0.97	0.72	23731890	111146	4.68	2.93	2.05	576072	81.074172841154	0.0	0.0	13.384010423377084	0.24878181260352392	0.49916511435507926	0.6714101642345144	0.5723444142993722	1.5372853965920519	1.9039337208010165	2.9664728504333753	82399615	77480840	33449	48623	78695974	78163896	71201	187386
12	17450380	22398671	21710181	89244963	17512293	196.23	0	0	0.0	0	0	0.0	1305291099	3613691	2.77	22119018	62441	2.82	1.21	0.89	23731890	125914	5.31	3.32	2.34	688490	78.18451817967235	0.0	0.0	16.133506313834424	0.27877100386893494	0.5383399756173034	0.7212972591097034	0.5621494239546623	1.5110896534888163	1.8868798063956562	3.0737984409878605	82399615	77480840	40980	58140	78695974	78163896	84172	212550
13	10695611	14185261	13860139	89244963	12384335	138.77	0	0	0.0	0	0	0.0	1305291099	1200028	0.92	22119018	28062	1.27	0.52	0.37	23731890	69469	2.93	1.7	1.15	325122	87.30424487783482	0.0	0.0	8.45968220112411	0.19782505235539904	0.3653440003677056	0.4772911827283262	0.4897266254036496	1.2208094020970075	1.4668112204632682	2.2919705178494776	82399615	77480840	15880	23763	78695974	78163896	34896	103706
14	14417280	18807523	18250335	89244963	15434981	172.95	0	0	0.0	0	0	0.0	1305291099	2366197	1.81	22119018	45796	2.07	0.9	0.67	23731890	97787	4.12	2.55	1.81	557188	82.06812242101206	0.0	0.0	12.58111979977374	0.24349830650213744	0.477075051297292	0.6507980875525182	0.5199355598289046	1.3822288028040692	1.7373792391480791	2.962580452513603	82399615	77480840	32673	43930	78695974	78163896	66795	162176
15	12450696	16641686	16203262	89244963	14530155	162.81	0	0	0.0	0	0	0.0	1305291099	1340440	1.03	22119018	40261	1.82	0.72	0.52	23731890	77522	3.27	1.9	1.32	438424	87.31179641293556	0.0	0.0	8.054712725621672	0.2419286122812316	0.43172308382696317	0.5716067470567586	0.4658302049443788	1.1648038546094428	1.427391431372999	2.6344926830130073	82399615	77480840	23279	31585	78695974	78163896	43699	116321
16	18270709	23162521	22127417	89244963	16975431	190.21	0	0	0.0	0	0	0.0	1305291099	4395635	3.37	22119018	65434	2.96	1.48	1.17	23731890	139263	5.87	3.99	3.01	1035104	73.28835665167881	0.0	0.0	18.977360020526262	0.28249947404257075	0.6343178274938207	0.9172533507902703	0.6012428439892187	1.7543556679344188	2.3481554533722817	4.468874523632381	82399615	77480840	65535	81490	78695974	78163896	137539	267090
2	8666177	11556669	11296689	89244963	10274669	115.13	0	0	0.0	0	0	0.0	1305291099	809712	0.62	22119018	24120	1.09	0.43	0.3	23731890	52917	2.23	1.31	0.87	259980	88.90683812091528	0.0	0.0	7.00644796523981	0.20871065875469824	0.36661082877773865	0.4703344882508965	0.4578914564395675	1.1509025654364593	1.3667692654345296	2.2496101601594716	82399615	77480840	11987	18248	78695974	78163896	24947	80089
3	15122121	19561648	19014449	89244963	16169306	181.18	0	0	0.0	0	0	0.0	1305291099	2365542	1.81	22119018	52407	2.37	0.98	0.71	23731890	108823	4.59	2.8	1.94	547199	82.65819935007521	0.0	0.0	12.092754148321246	0.2679068757397127	0.501000733680516	0.6613093129985776	0.5563079347915881	1.4574078830168093	1.7904319717847905	2.797305216820178	82399615	77480840	31359	45597	78695974	78163896	65145	176270
4	14587792	18764876	18229004	89244963	14793676	165.76	0	0	0.0	0	0	0.0	1305291099	2989488	2.29	22119018	43952	1.99	0.9	0.67	23731890	96267	4.06	2.55	1.8	535872	78.83705706341998	0.0	0.0	15.931296321915475	0.23422483580493683	0.477759618555433	0.6465483704768419	0.5130169791689537	1.3852529587725493	1.7293799330195414	2.855718311168163	82399615	77480840	31673	45699	78695974	78163896	64575	163674
5	15492800	19990815	19423274	89244963	16056629	179.92	0	0	0.0	0	0	0.0	1305291099	2879711	2.21	22119018	51798	2.34	1.0	0.73	23731890	107950	4.55	2.81	1.96	567541	80.32003197468437	0.0	0.0	14.405170574586379	0.25910899580632407	0.4962579064435342	0.6612136623744455	0.5399979940787807	1.4345087981655575	1.7745749735566059	2.8390088147981962	82399615	77480840	32976	47408	78695974	78163896	67982	178820
