Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
1	68323013.0	0.0	68323013.0	1.0	68323013.0	0.0	68323013.0	0.0	0.0	0.0	0.0	57145775.0	868895.0	0.0	9525778.0	0.0	6755641645.0	6755641645.0	0.0	6755641645.0	6689746836.0	0.0	5651556012.0	15946790.0	0.002383766	98.0	99.0	0.0	100.0	100.0	0.0	39.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	83.64059559258605	1.2717457293635455	0.0
10	73328336.0	0.0	73328336.0	1.0	73328336.0	0.0	73328336.0	0.0	0.0	0.0	0.0	63114359.0	1082502.0	0.0	11329662.0	0.0	7201288991.0	7201288991.0	0.0	7201288991.0	7126624505.0	0.0	6198313949.0	17455844.0	0.002449385	98.0	98.0	0.0	100.0	100.0	0.0	39.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	86.07090034062685	1.4762396899337793	0.0
11	90798741.0	0.0	90798741.0	1.0	90798741.0	0.0	90798741.0	0.0	0.0	0.0	0.0	75758496.0	2887373.0	0.0	24571673.0	0.0	8940186836.0	8940186836.0	0.0	8940186836.0	8853174537.0	0.0	7458710530.0	22372049.0	0.002527009	98.0	98.0	0.0	100.0	100.0	0.0	39.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	83.43562384857297	3.1799703037732647	0.0
12	99716194.0	0.0	99716194.0	1.0	99716194.0	0.0	99716194.0	0.0	0.0	0.0	0.0	82265814.0	1893763.0	0.0	18296291.0	0.0	9825367126.0	9825367126.0	0.0	9825367126.0	9728263582.0	0.0	8105711912.0	25148134.0	0.002585059	98.0	99.0	0.0	100.0	100.0	0.0	39.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	82.49995381893537	1.8991529099074922	0.0
13	45268092.0	0.0	45268092.0	1.0	45268092.0	0.0	45268092.0	0.0	0.0	0.0	0.0	34572481.0	975747.0	0.0	9024029.0	0.0	4463907020.0	4463907020.0	0.0	4463907020.0	4419962579.0	0.0	3408424207.0	10315788.0	0.002333909	98.0	99.0	0.0	100.0	100.0	0.0	39.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	76.37273733560495	2.1554851483468753	0.0
14	81331088.0	0.0	81331088.0	1.0	81331088.0	0.0	81331088.0	0.0	0.0	0.0	0.0	66913808.0	2652955.0	0.0	22668117.0	0.0	8004772790.0	8004772790.0	0.0	8004772790.0	7924461767.0	0.0	6584756591.0	21306486.0	0.002688698	98.0	98.0	0.0	100.0	100.0	0.0	39.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	82.27334669370217	3.261919968413554	0.0
15	84093251.0	0.0	84093251.0	1.0	84093251.0	0.0	84093251.0	0.0	0.0	0.0	0.0	71642555.0	2702735.0	0.0	22986489.0	0.0	8259135528.0	8259135528.0	0.0	8259135528.0	8174655933.0	0.0	7034550132.0	20663649.0	0.00252777	98.0	98.0	0.0	100.0	100.0	0.0	39.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	85.19417925702504	3.2139737349433664	0.0
16	94930166.0	0.0	94930166.0	1.0	94930166.0	0.0	94930166.0	0.0	0.0	0.0	0.0	76659457.0	1661221.0	0.0	16556262.0	0.0	9329071255.0	9329071255.0	0.0	9329071255.0	9235249896.0	0.0	7532567180.0	23884515.0	0.002586234	98.0	98.0	0.0	100.0	100.0	0.0	39.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	80.75352675565742	1.7499400559354334	0.0
2	42901963.0	0.0	42901963.0	1.0	42901963.0	0.0	42901963.0	0.0	0.0	0.0	0.0	34235786.0	684690.0	0.0	6828618.0	0.0	4223465650.0	4223465650.0	0.0	4223465650.0	4178230060.0	0.0	3370958958.0	10353386.0	0.002477936	98.0	98.0	0.0	100.0	100.0	0.0	39.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	79.80004551306895	1.5959409596246212	0.0
3	89986826.0	0.0	89986826.0	1.0	89986826.0	0.0	89986826.0	0.0	0.0	0.0	0.0	74864705.0	2022508.0	0.0	18606501.0	0.0	8827095398.0	8827095398.0	0.0	8827095398.0	8730220784.0	0.0	7342818282.0	22492723.0	0.002576421	98.0	98.0	0.0	100.0	100.0	0.0	39.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	83.19518348163541	2.247560103964551	0.0
