Module	Section	Sample Name	Source
Picard	DuplicationMetrics	6	/home/jaime/work/eb/ef08eb7164032dcc076a6507657b4b/picard/markduplicates/6.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	8	/home/jaime/work/eb/ef08eb7164032dcc076a6507657b4b/picard/markduplicates/8.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	14	/home/jaime/work/eb/ef08eb7164032dcc076a6507657b4b/picard/markduplicates/14.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	3	/home/jaime/work/eb/ef08eb7164032dcc076a6507657b4b/picard/markduplicates/3.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	15	/home/jaime/work/eb/ef08eb7164032dcc076a6507657b4b/picard/markduplicates/15.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	2	/home/jaime/work/eb/ef08eb7164032dcc076a6507657b4b/picard/markduplicates/2.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	12	/home/jaime/work/eb/ef08eb7164032dcc076a6507657b4b/picard/markduplicates/12.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	13	/home/jaime/work/eb/ef08eb7164032dcc076a6507657b4b/picard/markduplicates/13.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	7	/home/jaime/work/eb/ef08eb7164032dcc076a6507657b4b/picard/markduplicates/7.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	10	/home/jaime/work/eb/ef08eb7164032dcc076a6507657b4b/picard/markduplicates/10.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	5	/home/jaime/work/eb/ef08eb7164032dcc076a6507657b4b/picard/markduplicates/5.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	1	/home/jaime/work/eb/ef08eb7164032dcc076a6507657b4b/picard/markduplicates/1.markdup.sorted.MarkDuplicates.metrics.txt
Picard	DuplicationMetrics	11	/home/jaime/work/eb/ef08eb7164032dcc076a6507657b4b/picard/markduplicates/11.markdup.sorted.MarkDuplicates.metrics.txt
