Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
1	70861236.0	98.0	64414403.0	90.9	97.94	24785520.0	24771640.0	24547737.0	198553.0	30576.0	8654.0	0.2	0.01	1.79	0.01	1.53	3908610.0	5.52	8294.0	0.01	0.0	3.56	0.01	0	2522842	7087
10	74176103.0	98.0	68939331.0	92.94	97.25	26421659.0	26406346.0	26167507.0	210098.0	34033.0	10021.0	0.21	0.01	1.8	0.0	1.55	4389005.0	5.92	12491.0	0.02	0.0	1.11	0.01	0	827818	7458
11	91439587.0	98.0	83750346.0	91.59	97.55	33309994.0	33290617.0	32995428.0	263780.0	39605.0	11181.0	0.22	0.01	1.84	0.01	1.56	7048395.0	7.71	17119.0	0.02	0.0	0.67	0.02	0	605648	18079
12	100341530.0	98.0	93355673.0	93.04	97.6	37497981.0	37475486.0	37144055.0	297092.0	44325.0	12509.0	0.23	0.01	1.85	0.0	1.55	6360521.0	6.34	18562.0	0.02	0.0	0.59	0.02	0	586880	19894
13	45547965.0	98.0	42272600.0	92.81	97.67	16720999.0	16710185.0	16565568.0	128775.0	20562.0	6094.0	0.2	0.01	1.82	0.01	1.54	2995492.0	6.58	6333.0	0.01	0.0	0.59	0.01	0	268981	4559
14	81973746.0	98.0	74778499.0	91.22	97.48	30757058.0	30737570.0	30475586.0	234676.0	36797.0	9999.0	0.24	0.01	1.83	0.0	1.56	6552589.0	7.99	13232.0	0.02	0.0	0.75	0.01	0	621144	8282
15	84838208.0	98.0	77383009.0	91.21	97.27	34032259.0	34012722.0	33715176.0	265849.0	39913.0	11321.0	0.22	0.01	1.87	0.0	1.59	6710242.0	7.91	13157.0	0.02	0.0	0.85	0.01	0	723291	8509
16	95684903.0	98.0	88944027.0	92.96	97.34	35752178.0	35728666.0	35412052.0	287225.0	40476.0	12425.0	0.23	0.01	1.87	0.0	1.58	5986139.0	6.26	23802.0	0.02	0.0	0.74	0.02	0	711700	19235
2	44614358.0	98.0	40387936.0	90.53	97.44	15762102.0	15752066.0	15614823.0	121754.0	19319.0	6206.0	0.21	0.01	1.83	0.01	1.54	2514027.0	5.64	6401.0	0.01	0.0	3.81	0.01	0	1701528	4466
3	91403288.0	98.0	83876226.0	91.76	97.09	32722012.0	32702446.0	32395731.0	275904.0	38551.0	11826.0	0.22	0.01	1.85	0.01	1.55	6110600.0	6.69	14817.0	0.02	0.0	1.52	0.01	0	1392484	9161
4	70412944.0	98.0	65833818.0	93.5	97.75	25016885.0	25001169.0	24776049.0	202335.0	29711.0	8790.0	0.22	0.01	1.83	0.01	1.54	3719755.0	5.28	13225.0	0.02	0.0	1.18	0.02	0	832044	14102
5	86768840.0	98.0	80687244.0	92.99	97.45	31251385.0	31231482.0	30952598.0	249460.0	37807.0	11520.0	0.22	0.01	1.85	0.01	1.54	5361514.0	6.18	17825.0	0.02	0.0	0.79	0.02	0	684917	17340
6	95136373.0	98.0	87471038.0	91.94	97.37	34867750.0	34846863.0	34527776.0	283819.0	43927.0	12228.0	0.23	0.01	1.84	0.01	1.56	6698773.0	7.04	16999.0	0.02	0.0	0.98	0.02	0	930572	18991
7	94903122.0	98.0	88371592.0	93.12	97.72	31362298.0	31341773.0	31039978.0	271681.0	38957.0	11682.0	0.22	0.01	1.74	0.01	1.52	5454553.0	5.75	16002.0	0.02	0.0	1.1	0.02	0	1042029	18946
8	78451350.0	98.0	72732578.0	92.71	97.5	27260772.0	27242932.0	26999843.0	218109.0	32600.0	10220.0	0.23	0.01	1.82	0.01	1.55	4634804.0	5.91	20023.0	0.03	0.0	1.33	0.02	0	1048183	15762
9	104135634.0	98.0	88702915.0	85.18	97.46	36299106.0	36278080.0	35947772.0	296676.0	42952.0	11706.0	0.21	0.01	1.82	0.01	1.57	14435095.0	13.86	17754.0	0.02	0.0	0.93	0.01	0	969446	10424
