Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
1	23730.80126956455	24858.93058182561	26787.83514806694	29869.603557741	33915.26200124335	38410.773842084396	43351.17137341949	47490.266093997954	50882.4870997534	54466.394985309045	58012.73247101225	61138.93018388893	63484.26010383055	66008.74029298477	68124.39749768245	69725.52759721431	71018.16691048609	72327.95364384624	74067.78745808758	75495.35474623686	76734.80184938695	77995.14134485333	78742.48531545025	79675.68120889278	80287.98851784774	80514.3184448196	80821.18687124507	81277.97220110877	81933.26995468413	82094.04804053107	82491.50900660138	83347.73322388192	83393.27190076683	83691.34677524114	83879.27699922572	84352.05673207909	83917.91137078089	83415.74250298848	83667.7632779073	83672.13874962096	83709.50908920981	83423.04381614031	83143.12900523515	83011.98826521721	82475.88574850459	82080.7790369452	81866.71400589227	82064.41787376543	82046.36151489077	81792.62950947511	81524.02675578429	81209.66790315924	80276.44575100606	79917.90899429662	79175.45970860063	78197.83235805023	77157.84789974403	76887.05998965932	76640.89656027802	76984.46124951675	77350.49787787821	77241.36752847536	77043.21231404382	77042.3636902505	76789.56561271998	76753.18271583023	76510.60613965859	76145.53312357156	75296.82807359642	74628.2876644078	73937.1840100329	73425.04999015221	73405.39910401173	73657.7354055273	73212.21668059667	72564.47719439848	72339.55036967582	72061.20057536839	71450.84850039131	70788.73240327954	70136.17671115354	69896.86337751287	69694.08849997538	69275.92924075614	68857.60526119775	68868.33765987869	68463.71202669339	67598.56464005137	67037.41276118331	65964.76498627389	64453.382968956466	62307.28949255564	59643.268642364594	55825.144703159036	50990.973790961994	44779.08401349253	36447.82222620493	25979.982027069156	14110.930188434315	3467.9152934226963
10	29696.977074256636	31190.73778844374	33652.27355494434	37117.03047494762	41317.06735947761	45846.94853772612	50760.86742572715	54970.200328677856	58425.03357325701	62108.466151688546	65600.5030927185	69064.52511424529	71309.18658814447	73917.92364930826	75838.01411458055	76816.53953382271	77697.35683030187	78758.51060460361	80105.30019622129	81654.24222458502	82813.78686161852	84273.3472750235	84891.75677943775	85462.6722226899	85836.55752292102	85758.3980916611	85922.44040710563	86070.56594401185	86559.91881870305	86559.21684141885	87161.27403555026	87978.04148005234	88035.21051554567	88322.54566181463	88529.37176576989	88718.08383442288	88193.14711544318	87648.84830358392	87739.78776986377	87778.01187583825	87693.0206016468	87197.69698137118	86808.79837037454	86524.2163859655	85978.99195623964	85960.1303670927	85975.06404715129	86068.57067630779	86303.00913731157	86131.70341915457	85929.66777570853	86123.08580780767	85376.7001970343	85262.5898189755	84435.89807137667	83302.73035510577	81851.84665410273	81378.89658130729	81115.28622820755	81149.82342646718	81616.26278987201	81451.17977072345	80789.20452861252	80603.5682738503	80182.0984461109	79891.57277405918	79499.33503410552	79212.42852201877	78531.81428046837	77899.43120453351	77207.48359032672	76912.52944743818	76849.49832039967	77436.75463063308	77104.94049132914	76064.29365971916	75417.08838067974	74748.61587061493	73969.90086000793	73089.27846274727	72460.1769545025	72461.68768365255	72615.27759428637	72165.43631403537	72036.64793217162	71990.23922992224	71840.36440228579	71323.42909855639	70724.76596691312	69567.47159597657	67684.48972701783	65592.92186452504	63041.52830649634	59253.02758461473	54152.25938671561	47810.830164386585	39067.70544929178	28042.309310983426	15390.926384557279	3771.38803578864
11	36427.407061563135	37589.759617462805	39544.91530007223	43032.51231958652	47840.46285099879	53663.85535972748	59701.63215507491	64919.87766479428	69485.86070088627	74256.12835005697	78924.56663055642	83071.36139315071	86060.8431776924	89438.19548361083	92049.97401785663	93875.2250561072	95414.47925081861	97189.30958520826	99151.95383185447	101301.54139047115	103020.54619364602	104891.03380303089	106379.42628345771	107725.76764520835	108646.6626700357	109248.19515912065	109753.96766455458	110482.751978102	111441.7860237802	111701.04114787497	112459.32654857784	113887.01629030015	113986.23974062066	114353.82941478191	114669.22472326536	115289.32953002122	114752.59470615763	114089.13914510707	114500.95868671246	114670.65382508548	114937.23851242744	114569.35024652959	114380.29124574596	114177.0993924424	113739.32501991092	113589.36767228376	113565.68811413918	113818.33900051303	114247.33142878699	114203.43415431722	114221.74205929252	114405.49567672382	113356.75475872951	113010.01186092787	111933.15013602177	110677.18024383078	109254.07065923527	108926.57048443079	108722.45058140265	109189.25911056968	110063.43194395887	110068.32490651016	109763.4521115694	109750.48280266215	109321.89382669986	109295.91795692717	109030.9065633861	108570.017850338	107507.64197603865	106702.07526571857	105772.11535832654	105235.97164841765	105066.79544061469	105640.45550631486	105247.08365253737	104135.96235619707	103589.96549393918	103134.2641563811	102118.9560338494	100983.35205391259	100077.9188416537	99937.67807565146	99943.2804582201	99663.20820826858	99380.37111624572	99282.36106660096	98559.39364511872	97456.89060505631	96238.11025113339	94303.56073505314	91654.41563956473	88473.6343686346	84378.38252865126	78783.4693714679	71641.07673749475	62761.78058943902	50767.45965632978	35995.00087932313	19496.49201412744	4802.350396426929
12	44269.69347423288	46720.585909719106	50050.51414145976	54698.97551549669	60543.97300977849	67214.43925351779	74225.49635034656	80084.30927739292	84922.84332521632	89883.7652965216	94652.75588102151	98986.86500892679	102016.7320657224	105506.73804217095	108087.96336661218	109664.0624888342	110914.58122989211	112468.3253234099	114251.4470823142	116102.1286650105	117684.87061883668	119299.92270204141	120275.79571068223	121161.65957075146	121621.52028303513	121855.36508244042	122039.99587272774	122408.33591104232	123121.02096049603	123121.6553841295	123616.40639506691	124763.33097247589	124418.97362270903	124363.08343952452	124403.54375166638	124720.11491161924	123886.8594987222	122876.42013989178	122979.48699081197	122855.86835205976	122690.30737384311	121904.5473636312	121484.65452218127	120952.19501009607	120077.74014334986	119438.93537754711	118956.9433617737	118804.98635286272	118697.46000244893	118321.4927465234	118160.48547953386	118070.40472463594	116688.27960983517	116100.4230593123	114745.3171172127	113058.09547855252	111281.93518051643	110736.47946478386	110155.33039127472	110218.16307970117	110780.22152412351	110529.89924478211	109895.48311026623	109511.40533171741	108911.30342795339	108571.2121193131	107990.68723890767	107279.93902671216	106116.06939398992	105112.51436081786	103959.72983899659	103173.37643933321	102789.93372829269	103213.80806485926	102482.71004375271	101280.0434581211	100611.14098531748	100000.83569697174	98724.71867007871	97365.51131565336	96231.81109760722	95910.11583840074	95787.06150164462	95362.84432633281	95021.89926003365	94876.3246526557	94292.92316778237	93247.01561638499	92193.70081349883	90630.01491288618	88379.64150189956	85450.9670748282	81821.55269825392	76775.68169532943	70222.11958924134	62062.504999856494	50888.3693511686	36800.06424925217	20372.3528912279	5079.522328341638
13	18750.884497922405	19515.13025768457	20891.803160817144	22954.95122147348	25577.73948297718	28612.32647611612	31835.928237282547	34519.82255362672	36781.76706079381	39042.840722706926	41292.19571880798	43367.35688645922	44817.83285513076	46446.72224801632	47628.04497485375	48352.78328873203	48979.52725293917	49765.18493230864	50654.59240967426	51596.441022112434	52361.563231046246	53186.93788790142	53712.23520784311	54235.81243837982	54613.31671009915	54843.220090089104	55047.966488300815	55257.990435106585	55581.936577709115	55563.34432641336	55772.194836380506	56356.267958765784	56342.0637706906	56451.425526992636	56472.431121301655	56635.71886510823	56302.138025170636	55975.59659360982	56174.22348024517	56186.223757541375	56233.960586961	55981.95310091335	55773.50232198762	55609.97094243974	55254.54685308218	55066.444969711505	54884.65115937707	54831.6785742541	54821.30181601015	54692.10310217522	54580.91204960425	54486.98267205058	53911.98424199028	53694.498987217194	53174.63007825183	52611.009289491	51913.6608689077	51640.143840650715	51495.83087302712	51721.702161098896	52035.663904614055	52004.81320841781	51878.952498488994	51761.59312917776	51572.8497125332	51540.96055911574	51376.92514224727	51107.99971508619	50614.053105998944	50226.05656720768	49741.669913159596	49491.261008366644	49532.5553482798	49793.12519377204	49612.82619871695	49211.11326272696	49021.42843118314	48792.03944986653	48327.10244797271	47835.54366700275	47465.205948299605	47432.76581368828	47347.297274060125	47040.11465394686	46850.67108861041	46776.565085850736	46551.457014922235	46068.681247211156	45601.14239675452	44821.09881948427	43672.367332956346	42242.276134739695	40367.17655906955	37696.596118387264	34288.85143078858	30089.89890140065	24413.396035922433	17329.38887191484	9369.618591815984	2299.210939228708
14	37335.61768904428	38975.94563068421	41098.97368818666	44538.28073722049	49061.6344923641	54453.124521853046	60021.64091247163	64697.03153120776	68926.08851401629	73274.0028152973	77441.66604232675	81102.77269483103	83697.16732984644	86629.19306295895	88787.48056697195	90326.17523701506	91508.44934043752	92788.27349614711	94365.76689992513	96024.80460327886	97281.86063868752	98642.50334270696	99730.33856050788	100775.73054296323	101301.28456615195	101752.99531729153	102146.58158068979	102592.13204177342	103252.2706938669	103268.68106514309	103725.67970477359	104869.68774260367	104669.90485775229	104733.63336342321	104733.35619852162	105068.87065377647	104456.41067607005	103538.78948224266	103575.65485143388	103607.6965491994	103722.23824619174	103169.88226877915	102820.4734660229	102351.5917339917	101614.48938674081	101278.21781267744	100990.89920813259	100896.74220543515	100921.65619277337	100630.33369101869	100517.10807602474	100351.70987945428	99291.02319404672	98949.83381612487	97821.77636591061	96650.58493922028	95325.57576098	94855.59265407792	94434.13122386707	94672.15643013193	95400.15033890301	95284.73260830143	94905.36362411673	94701.923753719	94376.5512427747	94148.3328257354	93755.28564265814	93315.60593813375	92430.44311469953	91626.35011831547	90622.5814258533	89921.78168525205	89736.80705160843	90128.31385224256	89670.05223923156	88803.12936780923	88373.28068029012	87942.078269874	86865.10321854234	85702.68243285688	84771.72596707866	84566.36274584009	84404.07895042829	83957.73079270388	83482.20539416902	83190.42725341338	82541.70792479807	81495.87179075378	80393.16919277147	78853.2441807207	76780.8028362339	74108.29984097312	70633.36050936556	65852.63944150294	59770.12625752061	52213.67347351921	42216.04894191001	29934.016479735765	16236.758898328013	4049.801281782435
15	42284.245709997864	44490.97554223372	47122.26303537209	50892.732145539965	55617.20533155655	61313.206507898285	67153.28655949149	72285.11957572505	76840.19121216048	81464.77703574322	85892.485812687	89927.0858054202	92626.58324117388	95905.46243473914	98232.94197951585	99653.13716017226	100651.4807960019	102099.34354694851	103639.26888643371	105320.5881235698	106790.7329301466	108585.77440158236	109821.19376835995	111026.61751020566	111490.12140950309	111759.87558056382	111978.26388125848	112367.29416376942	113056.18339475579	113051.86088626308	113619.10159545387	115050.65701968536	114889.38435210277	114790.16970217452	114627.12744353249	115046.16852431717	114429.3535680797	113369.78201949144	113370.5959722935	113352.38724417653	113242.40493812795	112546.24949590655	112081.53544893114	111739.91497075508	111107.25988614948	110681.23641803884	110339.25424013921	110346.27216049368	110500.77843620625	110273.41663870304	110215.37028626136	110157.60930307032	108965.3222044652	108609.84811125444	107424.66447659757	106185.30605829656	104574.29612105715	103939.05206112754	103562.7505390959	103818.3981876063	104475.68260761934	104165.10908782337	103440.16393148486	102970.53818611657	102470.94369222577	102231.07674754674	101899.03517078175	101468.74342230627	100549.2878196547	99676.11940377616	98688.58558506535	97914.4859880677	97577.24339272673	98106.53359662562	97818.4576183488	96675.16965238594	95840.64702486136	95118.79809876064	93923.73526365144	92561.04283034276	91543.6673667387	91256.12618530467	91199.8537831996	90838.79942915488	90546.82337648279	90405.32391819607	89902.5069631955	88992.00554058423	87912.41579252708	86150.87396509609	83614.52661117219	80482.00870009697	76715.92049431276	71406.32497123438	64535.47021684579	56134.8722715729	45288.235160463184	32002.695809289464	17362.39101718745	4298.214512269786
16	43479.31178610183	46109.80373790137	49408.87009549337	53787.883518187584	59039.243776738	65121.28838358301	71340.60376215722	76647.14405428035	81056.3203016884	85437.38103129838	89628.91622780645	93354.91896651525	95905.16784643443	98945.3839998773	101212.47388520747	102732.19650485546	103774.88702156207	104947.00596759195	106350.5430089444	107813.4751456997	109170.18152064488	110616.65896080846	111543.8432296976	112336.98676335202	112838.58851731254	113145.54101667603	113408.71304803304	113857.58505182099	114440.76354965815	114345.25387260133	114643.46061321002	115672.4364674403	115280.94950783179	115108.54017282077	115107.2960499667	115425.43724644484	114401.20348808829	113262.16230234702	113261.67494352625	113061.68854086281	113073.1529167475	112483.75530375312	112038.61132556228	111504.67687556217	110784.21658015468	110216.94376820144	109729.75763298859	109624.71947903997	109529.55259812277	109172.42626809544	109034.09656471219	108842.26754150988	107440.92410422908	106814.35286548352	105658.79284220026	104193.22063147802	102566.2220796036	101949.47529958861	101423.15815954584	101555.85058962429	102163.44797397208	101870.00717803091	101219.58684976584	100957.64444298208	100435.22829411598	100136.5766722818	99677.77516362534	98991.17561361809	97885.9044854274	96905.49963230742	95721.53124316654	94757.32996673186	94344.22934911953	94760.66654236811	94104.90469715357	92910.23202921874	92362.27572496055	91837.95995939088	90589.55335887987	89322.98618309571	88265.51389847249	88006.32855299639	87951.20753153389	87565.03454833246	87065.82178852473	86858.81522892129	86260.60045972718	85191.57832863479	84070.35179328598	82563.99678569863	80522.44908602057	77948.91844248139	74759.96453153092	70230.64171688828	64471.29655444436	57264.601502408805	47189.896036019876	34362.81241617509	19189.622202079496	4798.264389930087
2	17043.09646800967	18006.985132726535	19473.231830274508	21528.247888685517	23941.488045267335	26654.847636517847	29510.552279762775	31968.18466065234	34051.361820544116	36179.22615702949	38285.579697490146	40305.60123854972	41607.99305025135	43183.12494795228	44395.9388601269	45238.21964524677	45883.92452837745	46591.904822760844	47501.62290535307	48414.22355618804	49021.19549791483	49879.128183098495	50318.155963027675	50779.961459697835	51059.53753683375	51137.54971565674	51329.899202024	51478.66990821107	51880.92079313648	51890.26889133565	52236.5286510952	52786.90910160311	52802.54676851334	53024.837615633616	53170.587168192986	53330.242799443164	53026.70362484615	52801.439580430124	52965.69466104837	53132.9644476979	53187.41824048116	52900.10456746847	52631.34076417672	52505.33156283337	52223.91707718427	52186.82399455368	52123.96705117829	52120.29094966877	52237.51703795555	52171.953946527654	52153.90693192893	52149.08235304112	51692.984946625504	51659.12247948043	51222.94440467468	50690.36751964301	49928.682180244316	49808.75211438572	49743.45910463385	49889.63810512804	50162.910273157315	50095.23628524813	49769.00362880343	49698.92174859783	49601.82513791396	49523.775927286864	49390.72002112235	49147.74478319704	48717.83902323943	48272.45479655567	47899.364698957696	47683.78050076916	47764.8111031344	48155.04524732294	48024.40246843001	47452.177038953494	47133.796900127585	46786.318994929614	46441.10308870364	46021.05865739155	45687.66302997817	45679.32743806863	45755.385650657474	45440.27753110278	45334.03860613632	45330.86697217751	45189.61775442841	44799.71566035924	44445.61280442683	43702.86386820943	42525.91848752957	41108.55070970487	39354.474345463685	36825.595793300796	33444.8172589239	29328.827132260296	23804.540037172	16903.53040013302	9122.748563980294	2228.677209526995
3	37909.842238935715	40300.43728451728	42909.06277718277	46486.23258849543	50934.343581462024	56203.41866498217	61641.26867507517	66274.23346869447	70372.25586282415	74603.33439045299	78670.69747891028	82430.09212812643	84937.90176269064	88116.70527285789	90608.68903288845	92306.55555924479	93743.00331151132	95338.01504966959	97123.99405501051	99053.45603973126	100635.4395909495	102494.91623453578	103782.96411222666	104987.08063333949	105721.83611554325	106214.9157982649	106751.41260184928	107481.10120644285	108443.14560124985	108710.42075872007	109646.8921986265	111246.11587809405	111464.57066004418	111718.36736775312	111968.76742631805	112602.8602940141	112090.80568142267	111563.14495579648	112035.93496891957	112342.5697018332	112435.03734782351	111942.71454869505	111787.98571940047	111557.53264955721	111158.49640273694	111058.8086110233	111014.31109681015	111392.68613838889	111897.92912525246	112153.36865614665	112392.10417325642	112668.0431067766	111674.75632509238	111481.95130979287	110483.89326308746	109266.34012496221	107954.94960508887	107810.8156288346	107771.21555647402	108279.68472360758	109173.82716076008	109076.36036128814	108489.21046037722	108418.99014602386	108104.46212217672	107963.16863168895	107731.57835367694	107332.16327949756	106399.07058399892	105637.8406572409	104982.77134454699	104611.02514401865	104619.92164290916	105439.1934994296	105094.08095271583	103935.49992455843	103236.58099538124	102692.83913314005	101837.25435862469	100651.88203206183	99769.36127271091	99539.70196208115	99686.34459322305	99412.74451562797	99126.764056191	99063.33270742508	98697.27798968159	97783.09980536581	96862.71712585799	95235.31780411581	92870.3318695042	89772.45622219873	85953.69458546373	80383.5575389394	72991.1550818069	63756.95051342054	51515.012587159974	36549.86611590406	19778.628444313523	4792.135211974162
