Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
1	1.markdup.sorted.bam	68323013.0	77848791.0	13432107.0	48219580.0	496877.0	0.0	0.84	48219580.0	12087025.0	3610835.0	9350734.0
10	10.markdup.sorted.bam	73328336.0	84657998.0	15715813.0	50876917.0	548837.0	0.0	0.85	50876917.0	13392940.0	4120459.0	10458505.0
11	11.markdup.sorted.bam	90798741.0	115370414.0	31616418.0	63546679.0	714891.0	0.0	0.91	63546679.0	16177451.0	3311143.0	12592259.0
12	12.markdup.sorted.bam	99716194.0	118012485.0	24651768.0	69421368.0	752249.0	0.0	0.9	69421368.0	19521395.0	3660380.0	14386661.0
13	13.markdup.sorted.bam	45268092.0	54292121.0	12017960.0	32264344.0	344643.0	0.0	0.86	32264344.0	7713319.0	1950237.0	6316620.0
14	14.markdup.sorted.bam	81331088.0	103999205.0	29217110.0	56023847.0	637296.0	0.0	0.95	56023847.0	15012834.0	3104385.0	11767428.0
15	15.markdup.sorted.bam	84093251.0	107079740.0	29693883.0	59926427.0	694703.0	0.0	1.04	59926427.0	14851990.0	1909657.0	13033987.0
16	16.markdup.sorted.bam	94930166.0	111486428.0	22534725.0	63961333.0	680628.0	0.0	1.01	63961333.0	19951536.0	4349805.0	13920691.0
2	2.markdup.sorted.bam	42901963.0	49730581.0	9341215.0	31008101.0	325295.0	0.0	0.84	31008101.0	7361037.0	1693447.0	6160991.0
3	3.markdup.sorted.bam	89986826.0	108593327.0	24713752.0	63626663.0	691817.0	0.0	0.88	63626663.0	16365462.0	3192107.0	13008395.0
4	4.markdup.sorted.bam	69553573.0	78394950.0	12556991.0	47902478.0	493864.0	0.0	0.88	47902478.0	14207831.0	3229466.0	9801372.0
5	5.markdup.sorted.bam	86048758.0	102042790.0	21351582.0	60115552.0	627170.0	0.0	0.87	60115552.0	16588130.0	3356249.0	12386453.0
6	6.markdup.sorted.bam	94169811.0	115539996.0	28064483.0	65673668.0	719130.0	0.0	0.88	65673668.0	17619955.0	3457885.0	13623472.0
7	7.markdup.sorted.bam	93826145.0	105054951.0	16679359.0	61194285.0	641645.0	0.0	0.83	61194285.0	18053297.0	8482196.0	12447450.0
8	8.markdup.sorted.bam	77367382.0	89903280.0	17165874.0	52442609.0	547405.0	0.0	0.88	52442609.0	15706619.0	4035658.0	10755123.0
9	9.markdup.sorted.bam	103138010.0	175503624.0	86796585.0	67726314.0	757598.0	0.0	0.92	67726314.0	16770253.0	3448549.0	13591992.0
