Sample	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22	chrX	chrM	chr22_KI270733v1_random	chrUn_GL000220v1
1	7175668	3661509	3547775	2004935	3089004	4138230	3442052	2297934	3379247	2986772	4576982	4961577	797727	2145367	1898503	2330811	5186332	780784	4859892	2304895	3146932	1318631	2135786	3011594	1323984	1310329
10	7581596	3691435	3707573	1937071	3178263	4412664	3639312	2393675	3732719	3030753	4989141	5474161	784393	2196936	1990433	2708715	5943825	757205	5613297	2518351	3802657	1526708	2257799	3454020	1667534	1626331
11	9188090	4492639	4484663	2379323	4023677	5555103	4541606	2955530	4790814	3707042	6315179	7240306	952688	2671834	2381719	3450036	7528817	943477	7494842	3192867	10360993	1954080	2747945	1974779	5046917	4942186
12	10260634	5178016	5161564	2865476	4659954	6054592	4923168	3427807	5407853	4312295	6913520	7906458	1144187	3088836	2730977	3804056	8140199	1104403	7706893	3472319	6633690	2100858	2976373	2031518	3006427	2935636
13	4732398	2379341	2308523	1275316	2027283	2798610	2319188	1519704	2275148	1950847	3086623	3337735	507058	1371752	1257190	1582678	3536952	501382	3380182	1535664	3548938	900548	1403909	1470969	1648644	1613448
14	8445422	4165768	4101678	2218025	3624626	5120554	4081961	2694718	4306811	3374774	5589538	6323980	890607	2397932	2230160	3024694	6486903	874371	6515236	2775499	9456368	1693414	2483658	1954834	4615350	4503986
15	8556822	4070426	4205469	2121071	3680253	5403805	4284608	2698718	4566777	3409314	5965290	6955416	833975	2361644	2278740	3135398	7176179	863873	7351563	2955161	9609527	1855166	2603474	773532	4721167	4601056
16	9924574	5049836	5019726	2819699	4477736	5763001	4729338	3348644	5142117	4258647	6467967	7374060	1132432	2948225	2627292	3631814	7575971	1103644	7256241	3229226	5656006	1971323	2873140	2085867	2505338	2442435
2	4434338	2230139	2209060	1200885	1920147	2655087	2183302	1433381	2212024	1824627	2938220	3295326	474170	1316420	1176108	1523616	3468755	468165	3302149	1483116	2449788	885993	1338514	1119776	1095269	1070937
3	9208271	4520130	4515141	2402616	3980007	5565472	4534273	2962295	4802445	3726813	6256064	7147469	944463	2691897	2403169	3416489	7504401	945729	7599768	3187630	7099410	1955160	2747497	1774537	3367259	3282888
4	7260003	3692372	3622883	2012385	3202985	4103393	3369477	2429722	3715419	3027181	4781127	5338036	816425	2198154	1882268	2713493	5570725	769944	5273156	2402576	2552881	1464929	2094785	2127488	967204	955341
5	8959385	4490481	4431473	2421031	3786927	5267058	4359731	2936360	4374545	3671017	6014935	6334110	961799	2661526	2413211	3234710	6889978	935068	6610476	3005770	6094245	1805989	2753589	2063912	2778772	2733678
6	9778571	4923219	4843795	2672785	4271505	5917716	4787944	3157372	4945516	3962464	6477928	7277807	1054222	2895039	2606818	3450434	7566897	1042463	7339929	3252980	8432121	1958359	2947900	2036620	3970584	3911628
7	10097357	4715796	4641740	2594173	4138726	5323481	4379096	3057140	4610993	3906439	5939164	6758606	1068922	2821555	2440456	3303560	6926628	1005566	6524409	3062227	2778525	1782362	2699606	8438450	993536	986567
8	8109263	4040696	4016432	2241193	3547635	4561763	3738027	2675470	4087980	3340554	5214441	5893486	907444	2406469	2076466	2989843	6124530	861876	5763663	2643793	4222303	1596111	2308645	2865415	1818557	1794557
9	10299080	5127948	4950005	2791712	4452251	6117535	4888736	3356754	4955204	4082839	6666220	7489138	1096515	3030765	2690020	3352482	7501937	1083595	7019599	3295370	36682875	1906848	3029689	2225990	18814302	18542404
